Token ID,Owner Address,Attribute clan,Attribute revealed,Attribute chassis,Attribute color,Attribute graphic,Attribute animation,Attribute emissive color,Attribute tier,Attribute head,Attribute torso,Attribute pelvis,Attribute shoulder left,Attribute shoulder right,Attribute arm left,Attribute arm right,Attribute leg left,Attribute leg right,Attribute knee left,Attribute knee right,Attribute collection
3124,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Medium,Elegance,Zero Effort,Run,Gem Stone,Runner,Rare,Common,Common,Common,Uncommon,Common,Common,Rare,Rare,Common,Uncommon,Spark Suit Edition 01
3125,0xA2D6868124f56b1aC9951439862d30e8925B7Cb7,Grimbone,true,Light,Scorched Earth,Zero Effort,Dash,Hot Orange,Master,Clan,Common,Common,Common,Common,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3126,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Medium,Elite Corps,Wave,Boxing,Aura,Runner,Clan,Rare,Common,Uncommon,Uncommon,Common,Common,Rare,Rare,Common,Clan,Spark Suit Edition 01
3127,0x76f27F3739DF14fb6Bb6F69e7cc8246565fbEceD,Grimbone,true,Medium,Dark Side,Skulls,Run,Blue Blaze,Runner,Uncommon,Common,Clan,Common,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3128,0x802DF9Adb88F81fDFe2d39fF2ACee9225ae45653,Grimbone,true,Medium,Scorched Earth,Stripes,Run,Faded,Adept,Common,Clan,Common,Common,Common,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
3129,0x2471711Fea18c868F77Eea05d9025D74D354998f,Bubblegum Violence,true,Light,Harlequin Tonic,Zero Effort,Spin,Yuletide Up,Runner,Common,Common,Common,Uncommon,Common,Clan,Clan,Common,Common,Common,Uncommon,Spark Suit Edition 01
3130,0x90645139E7BC836Ba61afb97DF3658487d2D2E7B,Emerald Hand,true,Light,Emerald Palace,Zero Effort,Dash,Elite,Runner,Clan,Common,Common,Uncommon,Uncommon,Common,Common,Common,Common,Clan,Common,Spark Suit Edition 01
3131,0x6525049a0807E1ec161E59c65eb29dDE261cc91c,Bubblegum Violence,true,Medium,Tumblers Mule,Tri Explosion,Boxing,Sapphire Star,Runner,Common,Common,Uncommon,Rare,Common,Common,Common,Rare,Rare,Rare,Uncommon,Spark Suit Edition 01
3132,0x3024a21d197F4508Bf0Edb833660F952c5423625,Bubblegum Violence,true,Medium,Tumblers Mule,Tri Explosion,Boxing,Lolita Jam,GrandMaster,Common,Rare,Rare,Rare,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3133,0x000000000000000000000000000000000000dEaD,Grimbone,true,Medium,Scorched Earth,Skulls,Run,Blue Blaze,Adept,Common,Common,Uncommon,Rare,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3134,0x623Ae9d91ECd4cBBC7C3642D7d8c5aFb19aaB305,Grimbone,true,Medium,Scorched Earth,Zero Effort,Boxing,Dusk,Runner,Common,Common,Rare,Rare,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3135,0x53fBd59757C6bCd7DB050B87DCcafFC2654818c0,Emerald Hand,true,Heavy,Elite Corps,Zero Effort,Heavy Spin,Aura,Runner,Common,Common,Common,Rare,Common,Common,Common,Clan,Clan,Common,Common,Spark Suit Edition 01
3136,0x9361aB667C7B544af16A23e957B0DE89e733BA65,Emerald Hand,true,Light,Elite Corps,Wave,Dash,Elite,Adept,Rare,Common,Uncommon,Uncommon,Uncommon,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3137,0x6CE55CaCA95a00E938EA07a3Ca38f2C941Fe917e,Emerald Hand,true,Light,Elite Corps,Armada,Spin,Elite,Officer,Common,Common,Uncommon,Uncommon,Uncommon,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3138,0x06B324C41F03Ea700Df1919B668E7Dd16A62B374,Bubblegum Violence,true,Light,Tumblers Mule,Tri Explosion,Dash,Lolita Jam,Officer,Rare,Common,Rare,Common,Rare,Clan,Clan,Common,Common,Common,Common,Spark Suit Edition 01
3139,0x408a821BcacCFBe73831e002B5DfE0d6D925690e,Bubblegum Violence,true,Heavy,Harlequin Tonic,Zero Effort,Sumo,Lolita Jam,Master,Common,Common,Rare,Common,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3140,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Medium,Harlequin Tonic,Lightning Jazz,Boxing,Yuletide Up,Adept,Common,Common,Common,Uncommon,Common,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
3141,0x44264285Be52Dd296D49C942FFaB5E30b35c8187,Bubblegum Violence,true,Medium,Tumblers Mule,Tri Explosion,Boxing,Sapphire Star,Officer,Uncommon,Common,Common,Rare,Rare,Rare,Rare,Common,Common,Rare,Common,Spark Suit Edition 01
3142,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Tumblers Mule,Zero Effort,Dash,Lolita Jam,Runner,Rare,Common,Common,Common,Rare,Common,Common,Clan,Clan,Rare,Common,Spark Suit Edition 01
3143,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Tumblers Mule,Tri Explosion,Spin,Yuletide Up,Runner,Uncommon,Common,Common,Rare,Uncommon,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3144,0xD6f848EDFcef2e859FD2C3E25C32d2c9b33AC412,Grimbone,true,Medium,Scorched Earth,Zero Effort,Boxing,Hot Orange,Runner,Uncommon,Common,Clan,Uncommon,Common,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3145,0x9522a657672Da86d7adC5FC84415e92599580819,Bubblegum Violence,true,Heavy,Harlequin Tonic,Zero Effort,Heavy Spin,Yuletide Up,Officer,Common,Common,Common,Uncommon,Rare,Rare,Rare,Rare,Rare,Uncommon,Common,Spark Suit Edition 01
3146,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Light,Emerald Palace,Zero Effort,Spin,Astral,Runner,Common,Common,Clan,Common,Common,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3147,0xA362283F097c05a554d066f30456E3FEa1633A32,Bubblegum Violence,true,Heavy,Harlequin Tonic,Lightning Jazz,Heavy Spin,Ruby Cherry,Adept,Uncommon,Rare,Common,Uncommon,Common,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3148,0x9D911e3ffd9f8E2739CDC25d429f59a913B95deC,Bubblegum Violence,true,Medium,Harlequin Tonic,Tri Explosion,Boxing,Lolita Jam,Adept,Common,Rare,Uncommon,Common,Common,Common,Common,Common,Common,Common,Rare,Spark Suit Edition 01
3149,0xCaf6024dc15F6ece1b45Db4a0ab71fd8bEA26b61,Bubblegum Violence,true,Medium,Harlequin Tonic,Zero Effort,Boxing,Lolita Jam,Adept,Clan,Common,Uncommon,Rare,Common,Common,Common,Common,Common,Common,Rare,Spark Suit Edition 01
3150,0x4c32642a5A36c1Ca3a120C72A8A28354E0ff9853,Emerald Hand,true,Heavy,Emerald Palace,Wave,Sumo,Elite,Officer,Uncommon,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3151,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Medium,Harlequin Tonic,Zero Effort,Boxing,Lolita Jam,Runner,Uncommon,Common,Uncommon,Common,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3152,0x4eBa1380761c08e7cf2E3aabB2a5BCD633Dd6A78,Bubblegum Violence,true,Light,Tumblers Mule,Tri Explosion,Dash,Sapphire Star,Adept,Common,Common,Uncommon,Common,Common,Common,Common,Clan,Clan,Uncommon,Rare,Spark Suit Edition 01
3153,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Heavy,Elite Corps,Wave,Sumo,Elite,Runner,Clan,Common,Common,Common,Rare,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3154,0x9DDB22A8a85DeefE2dF965168A403dEf25854477,Grimbone,true,Medium,Scorched Earth,Skulls,Run,Dusk,Adept,Uncommon,Common,Uncommon,Common,Uncommon,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
3155,0x6CE55CaCA95a00E938EA07a3Ca38f2C941Fe917e,Bubblegum Violence,true,Light,Harlequin Tonic,Zero Effort,Dash,Ruby Cherry,Officer,Common,Common,Uncommon,Common,Uncommon,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3156,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Light,Elite Corps,Zero Effort,Spin,Aura,Adept,Uncommon,Rare,Uncommon,Common,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3157,0x35329530659D33aF7b6dD6287F7c919079E872D2,Grimbone,true,Light,Sunrise,Zero Effort,Dash,Blue Blaze,Officer,Common,Common,Common,Common,Common,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3158,0xfA7de175AAfa18A8672be6079B0BcE34B41dcAF3,Bubblegum Violence,true,Light,Harlequin Tonic,Zero Effort,Dash,Lolita Jam,GrandMaster,Common,Common,Common,Common,Uncommon,Clan,Clan,Common,Common,Rare,Rare,Spark Suit Edition 01
3159,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Medium,Elite Corps,Zero Effort,Run,Elite,Adept,Common,Rare,Common,Common,Common,Rare,Rare,Common,Common,Rare,Common,Spark Suit Edition 01
3160,0xb5fc19845AB8956a879B04267Ce79B5EaC4c54e9,Emerald Hand,true,Light,Elite Corps,Zero Effort,Dash,Gem Stone,Officer,Uncommon,Common,Rare,Common,Common,Rare,Rare,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3161,0x000000000000000000000000000000000000dEaD,Grimbone,true,Light,Scorched Earth,Stripes,Spin,Blue Blaze,Runner,Common,Common,Uncommon,Common,Common,Rare,Rare,Common,Common,Common,Common,Spark Suit Edition 01
3162,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Bubblegum Violence,true,Heavy,Harlequin Tonic,Tri Explosion,Heavy Spin,Lolita Jam,GrandMaster,Clan,Common,Common,Uncommon,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3163,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Heavy,Emerald Palace,Zero Effort,Heavy Spin,Elite,Runner,Rare,Common,Uncommon,Common,Common,Common,Common,Common,Common,Clan,Common,Spark Suit Edition 01
3164,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Heavy,Mime Burst,Zero Effort,Heavy Spin,Ruby Cherry,Adept,Clan,Rare,Common,Uncommon,Rare,Common,Common,Rare,Rare,Uncommon,Rare,Spark Suit Edition 01
3165,0x0fC3B5d5483CA47c3c266b2B72150a04BFa73103,Grimbone,true,Medium,Sunrise,Zero Effort,Run,Dusk,Runner,Clan,Common,Uncommon,Uncommon,Uncommon,Common,Common,Clan,Clan,Uncommon,Uncommon,Spark Suit Edition 01
3166,0x41716A3Fa537f0634C7Fb7b235389d3D446Ac84B,Grimbone,true,Medium,Scorched Earth,Stripes,Run,Blue Blaze,Master,Clan,Common,Uncommon,Common,Common,Clan,Clan,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3167,0x000000000000000000000000000000000000dEaD,Grimbone,true,Heavy,Scorched Earth,Skulls,Heavy Spin,Blue Blaze,Adept,Common,Rare,Common,Rare,Uncommon,Rare,Rare,Common,Common,Uncommon,Common,Spark Suit Edition 01
3168,0xbdF4227aa95b8d7A85F5F8dA52A1d8467b90d0bE,Emerald Hand,true,Heavy,Elite Corps,Armada,Sumo,Astral,Officer,Common,Common,Uncommon,Common,Clan,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
3169,0x99D78271F81139E5E8a50159446d4703BE1cbd28,Bubblegum Violence,true,Heavy,Tumblers Mule,Tri Explosion,Heavy Spin,Lolita Jam,Runner,Uncommon,Common,Uncommon,Common,Uncommon,Common,Common,Rare,Rare,Clan,Common,Spark Suit Edition 01
3170,0xCF0776c21557B2a95EE2Fe15E0AB3b4f0a418Bc5,Bubblegum Violence,true,Heavy,Harlequin Tonic,Tri Explosion,Sumo,Yuletide Up,Officer,Rare,Common,Common,Rare,Common,Common,Common,Common,Common,Common,Rare,Spark Suit Edition 01
3171,0x0ddB71649Ac2799A805b14dbeE7239275c5f27f7,Bubblegum Violence,true,Heavy,Harlequin Tonic,Zero Effort,Heavy Spin,Sapphire Star,Runner,Common,Common,Uncommon,Clan,Common,Common,Common,Common,Common,Rare,Clan,Spark Suit Edition 01
3172,0x3DFb60a96d9304A3037b6ab604a16473d8aFDc35,Bubblegum Violence,true,Light,Harlequin Tonic,Tri Explosion,Dash,Yuletide Up,Runner,Uncommon,Common,Uncommon,Common,Common,Clan,Clan,Common,Common,Common,Common,Spark Suit Edition 01
3173,0x000000000000000000000000000000000000dEaD,Grimbone,true,Heavy,Dark Side,Stripes,Heavy Spin,Blue Blaze,Runner,Common,Common,Uncommon,Common,Common,Rare,Rare,Common,Common,Common,Uncommon,Spark Suit Edition 01
3174,0xf02304ED10b0A697B4f502abAA984d04e719CD14,Bubblegum Violence,true,Heavy,Harlequin Tonic,Zero Effort,Heavy Spin,Lolita Jam,Master,Common,Common,Common,Common,Common,Common,Common,Common,Common,Rare,Rare,Spark Suit Edition 01
3175,0x8b4d1e0AeC81E5BC12E867916CdFF722CCF0A246,Grimbone,true,Medium,Scorched Earth,Zero Effort,Run,Dusk,Adept,Common,Common,Common,Common,Clan,Clan,Clan,Common,Common,Rare,Common,Spark Suit Edition 01
3176,0xc009333d3878a5EF4Ff423CC8fE690c282EE0122,Bubblegum Violence,true,Heavy,Harlequin Tonic,Lightning Jazz,Heavy Spin,Sapphire Star,Officer,Rare,Common,Common,Rare,Uncommon,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3177,0x80C3C31e0902F586b121C1a7ADE68aC6C4704Faa,Grimbone,true,Medium,Scorched Earth,Skulls,Run,Faded,Runner,Clan,Common,Rare,Uncommon,Common,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3178,0x761C47e71D783D8C1F1A664C9B8AF396c3e670BD,Emerald Hand,true,Medium,Emerald Palace,Zero Effort,Boxing,Aura,Officer,Common,Common,Common,Uncommon,Uncommon,Common,Common,Common,Common,Common,Rare,Spark Suit Edition 01
3179,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Bubblegum Violence,true,Medium,Harlequin Tonic,Zero Effort,Boxing,Sapphire Star,Adept,Common,Rare,Common,Clan,Common,Rare,Rare,Common,Common,Rare,Common,Spark Suit Edition 01
3180,0x478FB7Ae2bF570a59667116Ee0A189b198b9601c,Grimbone,true,Light,Scorched Earth,Stripes,Dash,Blue Blaze,Adept,Common,Rare,Common,Uncommon,Common,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3181,0xB1F0380003D0E5383a04b196833eC8c53F97437C,Bubblegum Violence,true,Light,Tumblers Mule,Zero Effort,Spin,Lolita Jam,Adept,Uncommon,Common,Uncommon,Common,Common,Common,Common,Clan,Clan,Uncommon,Common,Spark Suit Edition 01
3182,0x5977A6703329462Eb5c6442323b81F52CCfFF54B,Grimbone,true,Light,Scorched Earth,Skulls,Spin,Blue Blaze,Adept,Common,Rare,Common,Rare,Common,Common,Common,Rare,Rare,Common,Common,Spark Suit Edition 01
3183,0x3b26c7A65496d864f602bE7CFE41e63ADE5C1117,Emerald Hand,true,Heavy,Elite Corps,Armada,Sumo,Astral,Adept,Uncommon,Clan,Uncommon,Common,Rare,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3184,0xe5BCB0e1574e0360620FC8E7bb0262941Fe2BF1D,Grimbone,true,Heavy,Scorched Earth,Stripes,Heavy Spin,Hot Orange,Adept,Rare,Common,Common,Common,Rare,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3185,0x49a86545eDD2704fc3d7D8B93771Ff5C534334e0,Emerald Hand,true,Light,Emerald Palace,Zero Effort,Spin,Elite,Adept,Uncommon,Common,Common,Uncommon,Common,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
3186,0xa6ed9F83312Be25aCe7c7741Db3bAe1D2daeC32E,Grimbone,true,Medium,Scorched Earth,Zero Effort,Run,Dusk,Officer,Common,Common,Common,Uncommon,Common,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3187,0x294f11C7704fD796f5dd609626B9371A627F55f6,Grimbone,true,Heavy,Scorched Earth,Zero Effort,Heavy Spin,Sun Spots,Officer,Uncommon,Common,Uncommon,Common,Common,Common,Common,Common,Common,Uncommon,Rare,Spark Suit Edition 01
3188,0x1152348219aD272475c58da95D2DBb3bf64688b1,Grimbone,true,Heavy,Sunrise,Zero Effort,Heavy Spin,Blue Blaze,Adept,Common,Common,Clan,Uncommon,Uncommon,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
3189,0xE7bA9aC02e347bd77bB2e07745861f56C41cbA96,Emerald Hand,true,Medium,Elite Corps,Wave,Boxing,Elite,Adept,Common,Rare,Uncommon,Common,Rare,Rare,Rare,Common,Common,Common,Common,Spark Suit Edition 01
3190,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Light,Elegance,Zero Effort,Dash,Aura,Runner,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3191,0xe28A9D775c260a1dADD8DdaDf28B61d59287A4d3,Grimbone,true,Heavy,Scorched Earth,Stripes,Heavy Spin,Dusk,Runner,Common,Common,Uncommon,Uncommon,Uncommon,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3192,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Bubblegum Violence,true,Medium,Harlequin Tonic,Tri Explosion,Boxing,Yuletide Up,Adept,Common,Common,Common,Rare,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3193,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Medium,Harlequin Tonic,Zero Effort,Boxing,Yuletide Up,Adept,Rare,Common,Common,Common,Rare,Common,Common,Rare,Rare,Rare,Uncommon,Spark Suit Edition 01
3194,0x6427F98cE63eb42Ce15Bc1dF8b94C55f3B791883,Bubblegum Violence,true,Light,Harlequin Tonic,Zero Effort,Spin,Ruby Cherry,Runner,Common,Common,Common,Common,Uncommon,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3195,0x76736fBdC6682EFac557A9A4965d3578B84A6278,Emerald Hand,true,Heavy,Elite Corps,Zero Effort,Heavy Spin,Elite,Officer,Uncommon,Common,Common,Uncommon,Common,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3196,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Heavy,Harlequin Tonic,Zero Effort,Heavy Spin,Aquamarine Chill,Runner,Common,Rare,Common,Common,Common,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3197,0x5ed6B5eE6E08CBBb1c2975064b664E126eAbA7F5,Grimbone,true,Light,Scorched Earth,Stripes,Dash,Sun Spots,Officer,Uncommon,Common,Uncommon,Rare,Uncommon,Common,Common,Rare,Rare,Common,Rare,Spark Suit Edition 01
3198,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Harlequin Tonic,Tri Explosion,Dash,Yuletide Up,Runner,Common,Common,Uncommon,Uncommon,Uncommon,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3199,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Heavy,Elite Corps,Zero Effort,Sumo,Elite,Adept,Common,Common,Common,Clan,Clan,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3200,0x000000000000000000000000000000000000dEaD,Grimbone,true,Light,Scorched Earth,Skulls,Spin,Dusk,Adept,Common,Common,Rare,Common,Clan,Common,Common,Common,Common,Common,Uncommon,Spark Suit Edition 01
3201,0x9d6ac5aB493052Fd3B434DAF7f9D35d32B5988bA,Grimbone,true,Heavy,Dark Side,Zero Effort,Heavy Spin,Blue Blaze,Officer,Common,Common,Uncommon,Rare,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3202,0xb631bBEfc3E8C052084E0944525f71299cf08F3d,Emerald Hand,true,Heavy,Elite Corps,Zero Effort,Heavy Spin,Aura,GrandMaster,Common,Clan,Common,Common,Uncommon,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3203,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Harlequin Tonic,Zero Effort,Spin,Lolita Jam,Runner,Common,Common,Uncommon,Rare,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3204,0xe5078cC566B4746D4D4546bE58A911840bD24e63,Emerald Hand,true,Light,Elite Corps,Zero Effort,Spin,Elite,Officer,Uncommon,Rare,Uncommon,Common,Common,Common,Common,Common,Common,Uncommon,Rare,Spark Suit Edition 01
3205,0x6525049a0807E1ec161E59c65eb29dDE261cc91c,Grimbone,true,Heavy,Scorched Earth,Zero Effort,Heavy Spin,Faded,Runner,Common,Common,Uncommon,Uncommon,Common,Common,Common,Rare,Rare,Uncommon,Rare,Spark Suit Edition 01
3206,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Heavy,Emerald Palace,Zero Effort,Heavy Spin,Elite,Adept,Common,Common,Common,Common,Rare,Common,Common,Common,Common,Rare,Uncommon,Spark Suit Edition 01
3207,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Emerald Hand,true,Medium,Emerald Palace,Zero Effort,Run,Elite,Officer,Uncommon,Common,Uncommon,Common,Common,Common,Common,Common,Common,Rare,Uncommon,Spark Suit Edition 01
3208,0x4B18CEBEB9797Ea594b5977109cc07b21c37E8c3,Bubblegum Violence,true,Medium,Tumblers Mule,Zero Effort,Boxing,Sapphire Star,Runner,Common,Rare,Common,Uncommon,Common,Rare,Rare,Common,Common,Uncommon,Common,Spark Suit Edition 01
3209,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Heavy,Elite Corps,Wave,Heavy Spin,Aura,Adept,Common,Common,Common,Common,Uncommon,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3210,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Heavy,Elite Corps,Zero Effort,Sumo,Elite,Runner,Common,Common,Uncommon,Uncommon,Common,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3211,0x1Cf0Df066FA30A659a23CF6cf34554fEC4CfC1D3,Emerald Hand,true,Medium,Elegance,Wave,Boxing,Elite,Runner,Common,Common,Common,Rare,Common,Rare,Rare,Common,Common,Common,Common,Spark Suit Edition 01
3212,0xfc36F2C326381f34e75928d1Aa406bB8bCE33E32,Bubblegum Violence,true,Heavy,Tumblers Mule,Zero Effort,Heavy Spin,Yuletide Up,Officer,Clan,Rare,Common,Rare,Uncommon,Rare,Rare,Rare,Rare,Uncommon,Common,Spark Suit Edition 01
3213,0xEC6F294fF1600Ae0Ef3e688259FCEb238DE6A5E3,Emerald Hand,false,,,,,,,,,,,,,,,,,,
3214,0xE33224bfc818102d2550746f1d6Dd4074A3Fb444,Bubblegum Violence,true,Light,Tumblers Mule,Zero Effort,Spin,Lolita Jam,Master,Common,Common,Common,Common,Uncommon,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
3215,0x0d38213f35178f4671ddB7012025DEE7e1E3aa6a,Grimbone,true,Light,Scorched Earth,Zero Effort,Spin,Sun Spots,Adept,Common,Rare,Uncommon,Uncommon,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3216,0xB06e9aBdA1776673f8db89396C14E30bbA9F3199,Emerald Hand,true,Medium,Elite Corps,Zero Effort,Boxing,Astral,Adept,Common,Rare,Common,Rare,Common,Rare,Rare,Common,Common,Rare,Uncommon,Spark Suit Edition 01
3217,0xD3dbCE32839A0c319f6C5553678017a90Dc227D8,Grimbone,true,Medium,Scorched Earth,Zero Effort,Run,Faded,Master,Uncommon,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3218,0xa6e5ccD3231eba3E59D0e41a27761Ec0fE6DD497,Bubblegum Violence,true,Medium,Harlequin Tonic,Tri Explosion,Run,Lolita Jam,Adept,Clan,Common,Common,Common,Uncommon,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3219,0xCE8A039FECDca8d9eCB9fC5E3fAec3C4148206C6,Grimbone,true,Medium,Sunrise,Skulls,Run,Blue Blaze,Master,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3220,0x000000000000000000000000000000000000dEaD,Emerald Hand,true,Light,Elite Corps,Armada,Spin,Aura,Runner,Common,Rare,Uncommon,Uncommon,Rare,Rare,Rare,Common,Common,Common,Common,Spark Suit Edition 01
3221,0xb631bBEfc3E8C052084E0944525f71299cf08F3d,Grimbone,true,Medium,Scorched Earth,Zero Effort,Run,Dusk,GrandMaster,Uncommon,Common,Common,Clan,Common,Common,Common,Clan,Clan,Common,Uncommon,Spark Suit Edition 01
3222,0x3D3d765C01c67A6f4f030128132A05C1EB6c0C3f,Grimbone,true,Heavy,Dark Side,Zero Effort,Sumo,Dusk,Runner,Uncommon,Common,Uncommon,Clan,Uncommon,Common,Common,Rare,Rare,Common,Rare,Spark Suit Edition 01
3223,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Medium,Harlequin Tonic,Lightning Jazz,Boxing,Yuletide Up,Runner,Rare,Common,Common,Rare,Common,Rare,Rare,Common,Common,Common,Common,Spark Suit Edition 01
3224,0x9F3cE600A9D7f70712D9638Fc8975Fd299baadc1,Emerald Hand,true,Heavy,Elegance,Zero Effort,Heavy Spin,Aura,Runner,Common,Clan,Uncommon,Uncommon,Uncommon,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3225,0x1aAaee94aDD413c4CA72dc3bf5532Dea085f50Dd,Grimbone,true,Heavy,Dark Side,Zero Effort,Sumo,Dusk,Runner,Uncommon,Common,Rare,Common,Uncommon,Common,Common,Rare,Rare,Clan,Common,Spark Suit Edition 01
3226,0x4B18CEBEB9797Ea594b5977109cc07b21c37E8c3,Grimbone,true,Heavy,Scorched Earth,Zero Effort,Sumo,Blue Blaze,Runner,Uncommon,Common,Uncommon,Common,Common,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3227,0x000000000000000000000000000000000000dEaD,Grimbone,true,Heavy,Scorched Earth,Zero Effort,Heavy Spin,Sun Spots,Adept,Common,Common,Common,Common,Clan,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3228,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Medium,Harlequin Tonic,Tri Explosion,Boxing,Aquamarine Chill,Runner,Uncommon,Common,Rare,Common,Uncommon,Common,Common,Common,Common,Rare,Common,Spark Suit Edition 01
3229,0x000000000000000000000000000000000000dEaD,Bubblegum Violence,true,Light,Mime Burst,Tri Explosion,Dash,Lolita Jam,Runner,Common,Clan,Uncommon,Common,Common,Common,Common,Common,Common,Common,Common,Spark Suit Edition 01
3230,0xf99026F655040dE856594165FBe90134d32fDdDb,Bubblegum Violence,true,Heavy,Tumblers Mule,Zero Effort,Sumo,Yuletide Up,Runner,Common,Common,Common,Common,Uncommon,Common,Common,Common,Common,Uncommon,Common,Spark Suit Edition 01
3231,0x000000000000000000000000000000000000dEaD,Grimbone,true,Light,Sunrise,Zero Effort,Dash,Dusk,Runner,Common,Common,Common,Uncommon,Uncommon,Common,Common,Common,Common,Common,Rare,Spark Suit Edition 01
3232,0xbdF4227aa95b8d7A85F5F8dA52A1d8467b90d0bE,Grimbone,true,Heavy,Scorched Earth,Skulls,Heavy Spin,Sun Spots,Adept,Uncommon,Common,Uncommon,Uncommon,Uncommon,Common,Common,Common,Common,Uncommon,Uncommon,Spark Suit Edition 01
