Token ID,Owner Address,Attribute role,Attribute luck,Attribute head,Attribute upperbody,Attribute lowerbody,Attribute face,Attribute figure,Attribute skin,Attribute bg,Attribute expression,Attribute skill 1,Attribute skill 2,Attribute power,Attribute token id,Attribute star,Attribute level,Attribute hatch num,Attribute vitality,Attribute free chance,Attribute used hatch num,Attribute mood
407,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,260,Dreadlocks,Hip Hop Jacket,Tentacle Feet,,Rainbow,Forgiving Claude,Grey,,Increase match revenue in percentage for each cloud character in the team,,260,407,1,10,3/3,22,3/3,,
408,0xEC538f26E6eF943D3E9bb05F68EcdD67B26AB39f,Patty,108,,,,Cardboard mask,Facial Design,Noble Patty,Bluish Grey,,,,192,408,1,1,2/2,88,3/3,,
409,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,118,Grass,Star Backpack,,,Facial Design,Gloomy Patty,Grey,,,,,,,,,,,,
410,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,344,Dome with Diamond,Gold Glitter,Colorful Pants,Golden Beard,Lower Eye Lashes,Sky Pop,Orange,,,,,,,,,,,,
411,0x31C0844C8e56eabBa4599A455cD9f0bde80ec5d8,Patty,198,Viking Helmet,,Viking Boots,,Lightning,Noble Patty,Orange,,,,,,,,,,,,
412,0x220D407f34aeFD26A6CCcaDFC95295cFFbe51931,Patty,116,,Star Backpack,,,Facial Design,Noble Patty,Bluish Grey,,,,,,,,,,,,
413,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,230,Viking Helmet,Star Backpack,Viking Boots,Cardboard mask,Facial Design,Gloomy Patty,Blue,,Increase win rate in Ancient Scene in percentage,Increase power in percentage with all dinosaur characters,445,413,1,30,3/3,76,3/3,,
414,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,417,Viking Helmet,Viking Armor,Viking Boots,Goatee,,,Blue,,Increase win rate in Knock-out Mode in percentage,Increase win rate in Frigid Scene in percentage,506,414,1,30,3/3,64,3/3,,
415,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,402,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,Dali-style beard,Rainbow,Forgiving Claude,Bluish Grey,,,,,,,,,,,,
416,0xd55c9A7cA95c0304eA3Cf41c608DFabBFDd0248E,Pop,140,,Colorful Top,Purple Slipper,,Lower Eye Lashes,Sky Pop,Orange,,,,369,416,1,7,2/2,76,0/3,,
417,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,148,,Viking Armor,Yellow Shorts,,Lightning,Lava Patty,Blue,,Increase match revenue in percentage for each duck character in the team,,459,417,1,19,2/2,76,3/3,,
418,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Patty,118,,,Yellow Slipper,,Facial Design,Noble Patty,Orange,,,,176,418,1,1,2/2,100,0/3,,
419,0x2Bbc13df3B3DF8DF852FAb836A51960332440028,Patty,402,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Facial Design,Gloomy Patty,Grey,,,,,,,,,,,,
420,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,200,Viking Helmet,,Viking Boots,Cardboard mask,Facial Design,Gloomy Patty,Blue,,Increase win rate in Horror Scene in percentage,,423,420,1,19,3/3,100,3/3,,
421,0x2Bbc13df3B3DF8DF852FAb836A51960332440028,Claude,366,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,Dali-style beard,Stubble,,Orange,,,,,,,,,,,,
422,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,128,Flower,,Red Sneaker,Heart Glasses,,Optimistic Ashe,Grey,,,,,,,,,,,,
423,0xb5771842eFB52831EBe907CDf36e082C46b9CEfe,Bill Duck,294,Hippie Helmet,Hippie Vest,Hippie Pants,,,,Bluish Grey,,Increase Coins earned from Frigid Scene in percentage,Increase power in percentage if only one kind of character is in use,507,423,1,27,3/3,88,,,
424,0x23c727740521705B2184550b2db54F54FE62C056,Pop,64,,Shell Necklace,,,Lower Eye Lashes,,Orange,,,,,,,,,,,,
425,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Bill Duck,204,Hippie Helmet,Hippie Vest,,,Heart,Ocean Bill Duck,Bluish Grey,,Increase Coins earned from Ancient Scene in percentage,Increase Coins earned from Casual Mode in percentage,371,425,1,20,3/3,100,0/3,,
426,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,507,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Tattoo,Evil Bill Duck,Blue,,Increase basic power in value,Increase Coins earned from Team Mode in percentage,626,426,2,30,3/3,64,3/3,,
427,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,384,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,Stubble,Simplex Claude,Grey,,Increase Coins earned from Team Mode in percentage,Increase power in percentage with all cloud characters,485,427,1,22,3/3,64,3/3,,
428,0x37556464D037536a0603FC824073D34E9893c880,Ashe,128,Flower,,Red Shorts,Heart Glasses,Shy Face,,Grey,,,,,,,,,,,,
429,0x583cBdcAD3e8C077B97Ec67418FaDa2bD471A439,Pop,144,,Gold Glitter,,Sleeping Eye Mask,,Sky Pop,Orange,,,,,,,,,,,,
430,0x151b64A759726ea7ed6Df2FCcC954C62993e20f4,Pop,142,Nightcap,Shell Necklace,Striped Pants,Sleeping Eye Mask,,,Grey,,,,,,,,,,,,
431,0xD7e51aAb36A8575471210644F668812FEa8392eC,Ashe,447,Bee Tentacles,Bee Top,Bee Bottom,Heart Glasses,Shy Face,Intellectual Ashe,Bluish Grey,,,,,,,,,,,,
432,0x4679355f55341A2D0CDFcFdf9aA04Db5f4829351,Ashe,220,Bee Tentacles,,Bee Bottom,Flower Hairpin,Shy Face,,Orange,,,,,,,,,,,,
433,0xc57B64D63dc4602Bd16143B207c63b9b1A585921,Ashe,120,,Bib,,Flower Hairpin,Arrow Face,,Grey,,,,,,,,,,,,
434,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,134,Antler Straw Hat,,,Rock Shades,,Ocean Bill Duck,Bluish Grey,,Increase power in percentage with all dinosaur characters,Increase match revenue in percentage for each cloud character in the team,430,434,1,22,2/2,88,3/3,,
435,0x4679355f55341A2D0CDFcFdf9aA04Db5f4829351,Claude,128,,Blue Boxing,Hip-Hop Sneakers,,,,Grey,,,,,,,,,,,,
436,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,306,Boxing Helmet,Hip Hop Jacket,Hip-Hop Sneakers,Awe-inspiring,,Simplex Claude,Bluish Grey,,,,,,,,,,,,
437,0xaB4D1a46F0F9331201042C359f00C81537741673,Patty,218,Viking Helmet,,Viking Boots,Cardboard mask,Facial Design,Lava Patty,Grey,,,,,,,,,,,,
438,0x6C06B7c6C5f43b1e44a7DC3496c55a01132E8552,Pop,342,Martin's Antenna,Colorful Top,Colorful Pants,,Upper Eye Lashes,Sky Pop,Bluish Grey,,,,,,,,,,,,
439,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,432,Bee Tentacles,Bee Top,Bee Bottom,Flower Hairpin,Shy Face,,Orange,,Increase win rate in Story Mode in percentage,,352,439,1,18,3/3,88,3/3,,
440,0x60C70950C88646e2dd631A7D31fCc4457A83f898,Pop,234,Martin's Antenna,Striped Top,Colorful Pants,Sleeping Eye Mask,,Sky Pop,Blue,,,,,,,,,,,,
441,0x88482a8424AC03453E8cc83e59b4Cd9855d9C5EF,Patty,114,Cow Horn Tiara,,Yellow Slipper,Cardboard mask,Lightning,Gloomy Patty,Blue,,,,,,,,,,,,
442,0xc6de33F747CE9dc5F2B8137532f38405E656F697,Patty,308,Viking Helmet,Pirate Trenchcoat,Viking Boots,Cardboard mask,Facial Design,Gloomy Patty,Bluish Grey,,Increase match revenue in percentage for each star character in the team,Increase Coins earned from Joyous Scene in percentage,515,442,1,29,3/3,100,0/3,,
443,0x64afB7EdF4854Db86aA066e9D6d6F21866F40684,Bill Duck,144,Quiff,Shell Necklace,Purple Pnats,,Heart,,Bluish Grey,,Increase win rate in all game modes in percentage,,316,443,1,18,2/2,82,,,
444,0x9fb4558504EeeCA4F9be005E88105d1FABb0242F,Ashe,72,Flower,,,,,Intellectual Ashe,Blue,,,,,,,,,,,,
445,0xD7e51aAb36A8575471210644F668812FEa8392eC,Bill Duck,208,Hippie Helmet,Shell Necklace,Hippie Pants,,Heart,Pink Bill Duck,Blue,,Increase win rate in all game modes in percentage,,345,445,1,16,3/3,94,,,
446,0xeE1A4667C02CF143F79e8F3F4a62645BCFb1ADa0,Claude,308,Dreadlocks,Tentacle Skirt,Hip-Hop Sneakers,Dali-style beard,Stubble,Simplex Claude,Orange,,,,,,,,,,,,
447,0xaB4D1a46F0F9331201042C359f00C81537741673,Claude,62,,,Blue Sneaker,,Stubble,Excited Claude,Bluish Grey,,,,,,,,,,,,
448,0xffDa63be7fe5D9D7A58245c9741384576a29Af71,Pop,118,,,Treasure Boots,,,Desert Pop,Bluish Grey,,,,,,,,,,,,
449,0x64afB7EdF4854Db86aA066e9D6d6F21866F40684,Ashe,641,Lantern Fish Hood,Fish Bikini,Lantern Fish Tail,Flower Hairpin,Arrow Face,Intellectual Ashe,Bluish Grey,,Increase win rate in Story Mode in percentage,Increase Coins earned from Guardian Scene in percentage,408,449,1,20,4/4,64,,,
450,0xeD2326b9107399Fcf04E264b07beCcF3d8d35347,Ashe,148,,Red Boxing Gloves,Red Sneaker,,Shy Face,Intellectual Ashe,Blue,,,,,,,,,,,,
451,0x70b543Fe3588B7F5Bd7D403DCCbf54d1187d2FFa,Bill Duck,98,,Shell Necklace,,,Tattoo,Evil Bill Duck,Bluish Grey,,,,,,,,,,,,
452,0x1EdDd8aEcB35115Ac0E4F3940fB18720b2d3E9cF,Claude,40,,,,,Stubble,Excited Claude,Blue,,,,,,,,,,,,
453,0x23c727740521705B2184550b2db54F54FE62C056,Ashe,318,Bee Tentacles,Bee Top,Bee Bottom,,Shy Face,,Blue,,,,,,,,,,,,
454,0xD7e51aAb36A8575471210644F668812FEa8392eC,Pop,144,,Shell Necklace,Colorful Pants,Sleeping Eye Mask,Lower Eye Lashes,Sky Pop,Bluish Grey,,,,,,,,,,,,
455,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,346,Red Boxing Helmet,Fish Bikini,Lantern Fish Tail,Flower Hairpin,Arrow Face,Intellectual Ashe,Blue,,Increase match revenue in percentage for each dinosaur character in the team,Increase power in percentage if only one kind of character is in use,616,455,2,30,2/4,100,3/3,,
456,0x70b543Fe3588B7F5Bd7D403DCCbf54d1187d2FFa,Bill Duck,140,Antler Straw Hat,,Hippie Pants,,Heart,Pink Bill Duck,Blue,,,,,,,,,,,,
457,0x8c16BccB2491619662c9F1D7fFE36E09F20F6542,Pop,333,Martin's Antenna,Colorful Top,Colorful Pants,,Upper Eye Lashes,,Orange,,,,,,,,,,,,
458,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Bill Duck,406,Quiff,Captain's Uniform,Hippie Pants,Captain's Beard,Tattoo,Ocean Bill Duck,Bluish Grey,,Increase power in percentage if all characters in the team are different,Increase win rate in Knock-out Mode in percentage,492,458,1,30,5/5,94,0/3,,
459,0xAB5E247F0DF5377f94D4006A99D7c482D18B6DfD,Claude,124,Dreadlocks,,Blue Shorts,,Rainbow,,Orange,,,,,,,,,,,,
460,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,384,Hippie Helmet,Hippie Vest,Hippie Pants,,Tattoo,Evil Bill Duck,Bluish Grey,,,,,,,,,,,,
461,0x23c727740521705B2184550b2db54F54FE62C056,Ashe,106,Flower,Bib,Red Shorts,,,Optimistic Ashe,Bluish Grey,,,,,,,,,,,,
462,0x8c16BccB2491619662c9F1D7fFE36E09F20F6542,Claude,417,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,Awe-inspiring,Rainbow,,Blue,,,,,,,,,,,,
463,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,80,Nightcap,,,,Lower Eye Lashes,Sky Pop,Orange,,Increase match revenue in percentage for each fish character in the team,,489,463,1,19,2/2,76,3/3,,
464,0x145c692ea0B7D8dD26F0eD6230b2fC6c44EffdA1,Patty,134,Grass,Carton,Yellow Shorts,,,Noble Patty,Blue,,,,,,,,,,,,
465,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,627,Dome with Diamond,Gold Glitter,Treasure Boots,Golden Beard,Upper Eye Lashes,Sky Pop,Orange,,Increase win rate in Story Mode in percentage,Increase win rate in Ancient Scene in percentage,609,465,2,30,4/4,78,3/3,,
466,0x37556464D037536a0603FC824073D34E9893c880,Patty,152,Viking Helmet,,Yellow Slipper,,,Noble Patty,Orange,,,,,,,,,,,,
467,0xDBE00F3847a3F004cCF367AD2CF0d2A80d1F9A74,Bill Duck,465,Hippie Helmet,Hippie Vest,Hippie Pants,Captain's Beard,Heart,Evil Bill Duck,Blue,,,,,,,,,,,,
468,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,264,Bee Tentacles,Bee Top,Red Sneaker,Flower Hairpin,Arrow Face,Optimistic Ashe,Grey,,Decrease Coins used for upgrading in percentage,Increase basic power in value,699,468,2,30,3/3,100,3/3,,
469,0x9569f721369820fD5bFF884A4F604fED81493e39,Pop,134,,,Treasure Boots,,Upper Eye Lashes,Desert Pop,Bluish Grey,,Increase experience value at the end of the match in percentage,,378,469,1,19,2/2,100,,,
470,0x9709a59b7075f9fe38Ed232F067Cdac33CA2193C,Bill Duck,134,,,Exclusive Boots,,Tattoo,,Blue,,,,,,,,,,,,
471,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,581,Lantern Fish Hood,Fish Bikini,Lantern Fish Tail,Flower Hairpin,Shy Face,,Grey,,Increase win rate in Guardian Scene in percentage,Increase power in percentage with all dinosaur characters,566,471,1,30,4/4,64,3/3,,
472,0xc6de33F747CE9dc5F2B8137532f38405E656F697,Pop,342,Martin's Antenna,Colorful Top,Colorful Pants,,Lower Eye Lashes,Sky Pop,Blue,,Increase match revenue in percentage for each dinosaur character in the team,Increase win rate in Team Mode in percentage,642,472,2,30,3/3,78,0/3,,
473,0x5E43a21EBC8Eb7668C01aB2F70A7016f1EEC1F86,Ashe,126,,Red Boxing Gloves,,,Arrow Face,Intellectual Ashe,Bluish Grey,,Increase power in percentage for each dinosaur character in the team,,461,473,1,16,2/2,82,0/3,,
474,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,375,Martin's Antenna,Colorful Top,Colorful Pants,Sleeping Eye Mask,Upper Eye Lashes,Sky Pop,Blue,,Increase power in percentage if only one kind of character is in use,Increase power in percentage with all duck characters,475,474,1,30,2/3,100,3/3,,
475,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,828,Skeleton Kerchief,Pirate Trenchcoat,Leather Boots,Goatee,Lightning,,Orange,,Increase win rate in Knock-out Mode in percentage,Increase win rate in Guardian Scene in percentage,683,475,2,30,5/5,76,3/3,,
476,0x9569f721369820fD5bFF884A4F604fED81493e39,Patty,399,Viking Helmet,Viking Armor,Viking Boots,,Lightning,Noble Patty,Orange,,,,,,,,,,,,
477,0x9E6C393177534488A0A60c5d36FAB538aE155561,Ashe,132,,,Red Sneaker,Heart Glasses,Shy Face,Intellectual Ashe,Bluish Grey,,Increase win rate in Story Mode in percentage,Increase win rate in Horror Scene in percentage,623,477,2,29,2/2,100,3/3,,
478,0xDBE00F3847a3F004cCF367AD2CF0d2A80d1F9A74,Patty,417,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Lightning,Noble Patty,Bluish Grey,,,,,,,,,,,,
479,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,828,Parrot Tricorne,Captain's Uniform,Exclusive Boots,Captain's Beard,Heart,,Orange,,Increase Coins earned from Story Mode in percentage,Increase basic power in value,665,479,2,30,5/5,52,3/3,,
480,0xDBE00F3847a3F004cCF367AD2CF0d2A80d1F9A74,Ashe,396,Bee Tentacles,Bee Top,Bee Bottom,Heart Glasses,Shy Face,,Blue,,Increase win rate in Frigid Scene in percentage,Increase win rate in Knock-out Mode in percentage,664,480,2,29,3/3,76,,,
481,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,150,Quiff,Maple Leaf Jacket,,,,Ocean Bill Duck,Grey,,Increase match revenue in percentage for each duck character in the team,Increase Coins earned from Horror Scene in percentage,510,481,1,30,2/2,88,3/3,,
482,0x0B323EdfC8B4eeE3FdCEB68e56Bd262cE58CD7e7,Ashe,316,Lantern Fish Hood,Red Boxing Gloves,Lantern Fish Tail,Heart Glasses,,Intellectual Ashe,Bluish Grey,,,,,,,,,,,,
483,0xDBE00F3847a3F004cCF367AD2CF0d2A80d1F9A74,Ashe,144,Bee Tentacles,,Bee Bottom,,Arrow Face,,Bluish Grey,,,,,,,,,,,,
484,0x50F4133fAe989836281De2016B19F6079963A401,Bill Duck,392,Parrot Tricorne,Captain's Uniform,Hippie Pants,Captain's Beard,,Pink Bill Duck,Blue,,Increase basic power in percentage,Increase power in percentage for each duck character in the team,431,484,1,23,5/5,58,3/3,,
485,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,408,Viking Helmet,Pirate Trenchcoat,Leather Boots,Goatee,Lightning,Noble Patty,Bluish Grey,,Increase Coins earned from Frigid Scene in percentage,Increase win rate in Joyous Scene in percentage,441,485,1,30,5/5,76,3/3,,
486,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,132,Martin's Antenna,,Purple Slipper,,,Organic Pop,Grey,,Increase win rate in Knock-out Mode in percentage,Increase power in percentage with all fish characters in percentage,556,486,1,30,2/2,88,3/3,,
487,0x23c727740521705B2184550b2db54F54FE62C056,Patty,88,Cow Horn Tiara,,,,Facial Design,Gloomy Patty,Blue,,,,,,,,,,,,
488,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,128,,,Red Shorts,Flower Hairpin,Arrow Face,Optimistic Ashe,Grey,,Increase win rate in Casual Mode in percentage,Increase the rate of not costing vitality after matches,442,488,1,25,0/2,76,3/3,,
489,0xDBE00F3847a3F004cCF367AD2CF0d2A80d1F9A74,Patty,92,Cow Horn Tiara,,,Cardboard mask,Lightning,Gloomy Patty,Bluish Grey,,,,,,,,,,,,
490,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,230,Quiff,Hippie Vest,Hippie Pants,,,Pink Bill Duck,Bluish Grey,,Increase match revenue in percentage for each dinosaur character in the team,Increase power in percentage with all star characters in percentage,670,490,2,30,3/3,54,3/3,,
491,0x23c727740521705B2184550b2db54F54FE62C056,Ashe,244,Flower,Bee Top,Bee Bottom,Heart Glasses,,Intellectual Ashe,Grey,,,,,,,,,,,,
492,0x4679355f55341A2D0CDFcFdf9aA04Db5f4829351,Ashe,318,Bee Tentacles,Bee Top,Bee Bottom,,Arrow Face,,Bluish Grey,,,,,,,,,,,,
493,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,140,Grass,Star Backpack,,Cardboard mask,Facial Design,Gloomy Patty,Bluish Grey,,Increase power in percentage with all fish characters in percentage,Increase win rate in Casual Mode in percentage,355,493,1,23,0/2,76,3/3,,
494,0x94aC117fAE8664fdf42e1b7Ab0b6663Ea5bb19f3,Bill Duck,144,Antler Straw Hat,Hippie Vest,Purple Pnats,,,Evil Bill Duck,Bluish Grey,,Increase win rate in Casual Mode in percentage,Increase basic power in value,392,494,1,24,2/2,76,0/3,,
495,0x4679355f55341A2D0CDFcFdf9aA04Db5f4829351,Patty,480,Viking Helmet,Viking Armor,Viking Boots,Goatee,Lightning,Gloomy Patty,Orange,,,,,,,,,,,,
496,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,218,Antler Straw Hat,Hippie Vest,Hippie Pants,,Tattoo,Evil Bill Duck,Grey,,Increase match revenue in percentage for each duck character in the team,Increase Coins earned from Ancient Scene in percentage,362,496,1,23,3/3,88,3/3,,
497,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,236,Viking Helmet,Viking Armor,Yellow Slipper,,Lightning,Noble Patty,Orange,,Increase match revenue in percentage for each fish character in the team,Increase Coins earned from Horror Scene in percentage,520,497,1,30,3/3,76,3/3,,
498,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,328,Lantern Fish Hood,Bee Top,Lantern Fish Tail,Flower Hairpin,Shy Face,Optimistic Ashe,Blue,,Increase match revenue in percentage for each cloud character in the team,Increase Coins earned from Sweet Scene in percentage,435,498,1,30,4/4,88,3/3,,
499,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,438,Bee Tentacles,Bee Top,Bee Bottom,Heart Glasses,,Intellectual Ashe,Orange,,Increase Coins earned from Ancient Scene in percentage,Increase power in percentage if only one kind of character is in use,478,499,1,30,3/3,76,3/3,,
500,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,144,,Fish Bikini,Red Sneaker,,,Optimistic Ashe,Orange,,Increase power in percentage for each star character in the team,Increase Coins earned from Ancient Scene in percentage,502,500,1,30,2/2,64,3/3,,
501,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,351,Martin's Antenna,Colorful Top,Colorful Pants,Sleeping Eye Mask,Lower Eye Lashes,,Blue,,Increase win rate in Team Mode in percentage,Increase win rate in Horror Scene in percentage,606,501,1,30,3/3,52,3/3,,
502,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Bill Duck,384,Hippie Helmet,Hippie Vest,Hippie Pants,,Tattoo,Evil Bill Duck,Grey,,Increase power in percentage for each star character in the team,Increase power in percentage for each dinosaur character in the team,686,502,2,30,3/3,88,3/3,,
503,0x2d5daDB01A0FeC9449AeF1FB41192f589B6130A1,Pop,138,Martin's Antenna,Shell Necklace,,,Lower Eye Lashes,Sky Pop,Blue,,Increase basic power in value,,393,503,1,16,1/2,94,,,
504,0x5Bf36c14ACB0cea8C905906E101ad243472a67DA,Claude,106,Devil's Horn,Belt,Blue Shorts,,Rainbow,,Grey,,,,,,,,,,,,
505,0xDBE00F3847a3F004cCF367AD2CF0d2A80d1F9A74,Bill Duck,114,,Shell Necklace,Red slippers,,Tattoo,,Orange,,,,,,,,,,,,
506,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,378,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Facial Design,,Bluish Grey,,Increase match revenue in percentage for each star character in the team,Increase win rate in Frigid Scene in percentage,635,506,2,30,3/3,40,3/3,,
507,0xDBE00F3847a3F004cCF367AD2CF0d2A80d1F9A74,Patty,210,,Viking Armor,Viking Boots,Goatee,,,Grey,,,,,,,,,,,,
508,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Pop,152,,Colorful Top,Purple Slipper,Sleeping Eye Mask,Lower Eye Lashes,Sky Pop,Bluish Grey,,Increase win rate in Joyous Scene in percentage,Increase Coins earned from Team Mode in percentage,336,508,1,22,1/2,52,3/3,,
509,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Pop,366,Dome with Diamond,Colorful Top,Treasure Boots,Golden Beard,Upper Eye Lashes,Desert Pop,Orange,,Increase power in percentage for each fish character in the team,Increase match revenue in percentage for each fish character in the team,484,509,1,30,4/4,94,0/3,,
510,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Ashe,630,Lantern Fish Hood,Fish Bikini,Lantern Fish Tail,Flower Hairpin,,Intellectual Ashe,Orange,,Increase basic power in value,Increase win rate in Frigid Scene in percentage,839,510,3,30,3/4,56,3/3,,
511,0x8EC1518C5A26f8275EE7737045A8eb21E9415e26,Bill Duck,274,Hippie Helmet,Hippie Vest,Purple Pnats,Captain's Beard,Heart,,Orange,,Increase win rate in Guardian Scene in percentage,Increase win rate in Team Mode in percentage,445,511,2,22,3/3,78,0/3,,
512,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Claude,342,Dreadlocks,Hip Hop Jacket,Hip-Hop Sneakers,,Rainbow,Excited Claude,Bluish Grey,,Increase win rate in Casual Mode in percentage,Increase power in percentage if all characters in the team are different,640,512,2,30,3/3,88,3/3,,
513,0x7Bc6FD88Ad09CA77D34E78bC1918b0C58EDDcDdc,Pop,56,,,Purple Slipper,,Upper Eye Lashes,,Orange,,,,,,,,,,,,
514,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Ashe,92,Flower,,Red Sneaker,,Arrow Face,Optimistic Ashe,Grey,,Increase win rate in Single-player matches in percentage,,316,514,1,15,2/2,100,0/3,,
515,0x001Ec98297782a5F98a6134324A8a71Fa0EDa9C1,Claude,346,Wide-mouth Kraken,Blue Boxing,Tentacle Feet,Awe-inspiring,Rainbow,Forgiving Claude,Blue,,Increase power in percentage for each dinosaur character in the team,Increase match revenue in percentage for each fish character in the team,584,515,2,30,4/4,82,0/3,,
516,0x92a70284d91776D645a7A7726427077e397d9319,Bill Duck,436,Quiff,Captain's Uniform,Exclusive Boots,Captain's Beard,Tattoo,Ocean Bill Duck,Bluish Grey,,Increase match revenue in percentage for each cloud character in the team,Increase power in percentage for each cloud character in the team,531,516,2,30,5/5,40,0/3,,
517,0x5ea5fd77A7609E33B4ca1523372903B5e1fCbfd3,Claude,294,Dreadlocks,Blue Boxing,Hip-Hop Sneakers,Awe-inspiring,Stubble,Excited Claude,Blue,,,,,,,,,,,,
518,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,483,Viking Helmet,Viking Armor,Viking Boots,Goatee,,Noble Patty,Blue,,Increase Coins earned from Frigid Scene in percentage,,326,518,1,15,3/3,88,3/3,,
519,0x9b430A597cEFfb9d20902D0fA4Ad6bb261cA413C,Patty,250,Viking Helmet,Star Backpack,Viking Boots,Goatee,,,Orange,,,,,,,,,,,,
520,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,76,,Star Backpack,Yellow Shorts,,,Gloomy Patty,Bluish Grey,,Increase Coins earned from Joyous Scene in percentage,Increase win rate in Team Mode in percentage,554,520,1,30,2/2,52,3/3,,
521,0xc6de33F747CE9dc5F2B8137532f38405E656F697,Patty,276,Viking Helmet,Viking Armor,Leather Boots,,Facial Design,Gloomy Patty,Blue,,Increase win rate in Guardian Scene in percentage,Increase Coins earned from Sweet Scene in percentage,335,521,1,20,3/3,100,0/3,,
522,0x088771a64D950229020D91513A071F3429944261,Claude,222,Boxing Helmet,Hip Hop Jacket,Hip-Hop Sneakers,,Stubble,,Orange,,,,,,,,,,,,
523,0x8edba0f5351254077af7782B3eF643369AbeC746,Patty,378,Viking Helmet,Viking Armor,Viking Boots,Cardboard mask,Facial Design,,Grey,,Increase win rate in all game modes in percentage,Increase power in percentage with all star characters in percentage,427,523,2,23,3/3,64,0/3,,
524,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,110,Viking Helmet,,,,,Lava Patty,Blue,,Increase win rate in all game modes in percentage,Increase experience value at the end of the match in percentage,545,524,1,30,2/2,52,3/3,,
525,0xA6666ADc6ff79e771251d2C4ecEFa34c2541bBCA,Patty,318,Viking Helmet,Viking Armor,Viking Boots,,,Gloomy Patty,Bluish Grey,,,,,,,,,,,,
526,0x9E6C393177534488A0A60c5d36FAB538aE155561,Pop,318,Nightcap,Gold Glitter,Treasure Boots,Golden Beard,Upper Eye Lashes,Desert Pop,Grey,,Increase win rate in all game modes in percentage,,281,526,1,13,4/4,76,3/3,,
