Token ID,Owner Address,Attribute collection,Attribute clan,Attribute tier,Attribute color theme,Attribute emissive theme,Attribute animation,Attribute vfx color,Attribute vfx type,Attribute head,Attribute neck,Attribute body,Attribute tail,Attribute wings,Attribute arms,Attribute legs,Attribute revealed
2179,0x6CE55CaCA95a00E938EA07a3Ca38f2C941Fe917e,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Tumblers Mule,Saphire Star,Dragon Roar,Dull Blue,Try Soul,Epic,Rare,Uncommon,Epic,Epic,Common,Uncommon,true
2180,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Spirit Guardian Edition 01,Emerald Hand,Master,Elite Corps,Aura,Dragon Roar,Royal Gem,Zero Soul,Common,Rare,Rare,Rare,Uncommon,Rare,Common,true
2181,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2182,0xA87a0b23215f4202Cbf65202AF0b721b0b530bF7,Spirit Guardian Edition 01,Grimbone,Adept,Dark Side,Dusk,Dog Play,Dusk,Try Soul,Common,Uncommon,Epic,Common,Epic,Common,Common,true
2183,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Aura,Dragon Roar,Solar,Zero Soul,Rare,Common,Common,Uncommon,Uncommon,Epic,Common,true
2184,0xFE5B5fD243636adAdADda93f3C5a289966Cc70bC,Spirit Guardian Edition 01,Bubblegum Violence,Grand Master,Tumblers Mule,Yultide Up,Dog Play,Sun Up,Try Soul,Rare,Common,Common,Common,Uncommon,Common,Rare,true
2185,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2186,0x99caf44773F4391f68327D3857C8Ba02AF7f6C16,Spirit Guardian Edition 01,Grimbone,Grand Master,Dark Side,Dusk,Dragon Roar,Magic Hour,Zero Soul,Common,Epic,Uncommon,Uncommon,Uncommon,Common,Clan,true
2187,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Tumblers Mule,Yultide Up,Dog Play,Ice Light,Zero Soul,Uncommon,Common,Common,Uncommon,Rare,Clan,Epic,true
2188,0x70573e2c5925Ba3f7e7a8Ce960BF33410dBd8dDc,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2189,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Saphire Star,Dog Play,Lite Lime,Zero Soul,Uncommon,Common,Common,Common,Epic,Uncommon,Common,true
2190,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Dusk,Dog Play,Dusk,Zero Soul,Common,Uncommon,Common,Common,Clan,Common,Common,true
2191,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Yultide Up,Dragon Roar,Sun Up,Zero Soul,Rare,Common,Common,Common,Rare,Common,Uncommon,true
2192,0xE3bB64D93C3F2fb11ba18b05DF0b573981378828,Spirit Guardian Edition 01,Emerald Hand,Officer,Elegance,Astral,Dog Play,Lite Burst,Try Soul,Uncommon,Rare,Common,Common,Common,Rare,Rare,true
2193,0xFcD29A0cdd8d0f833CE2c4A462C2442D0219b263,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Blue Blaze,Dragon Roar,Noon Sun,Zero Soul,Uncommon,Rare,Rare,Uncommon,Epic,Rare,Common,true
2194,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2195,0xA5f28bd8fb129776AE14aCfC0B6a1a2F6159B33c,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2196,0xee91935da546A590d72aeB66aAcaf4BFF0E155bB,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Saphire Star,Dog Play,Sun Up,Zero Soul,Epic,Common,Common,Uncommon,Uncommon,Uncommon,Epic,true
2197,0xAb5af6e1658Be932a5184217c56689271AA62Dc0,Spirit Guardian Edition 01,Bubblegum Violence,Master,Mime Burst,Lolita Jam,Dog Play,Dull Blue,Zero Soul,Common,Epic,Common,Common,Common,Common,Rare,true
2198,0xCd6FAa0200C3Ca0ccFc374b8629aaaB63cfeBD51,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2199,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Elegance,Elite,Dragon Roar,Sky Rise,Try Soul,Rare,Rare,Common,Common,Uncommon,Rare,Common,true
2200,0x77745768B827b7bb4b5D13C9d85B1C0d9f033758,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2201,0xfB22dB8b47d943fe37eAC85B5A612B3Ed0663148,Spirit Guardian Edition 01,Emerald Hand,Master,Emerald Palace,Aura,Dog Play,Emerald,Zero Soul,Common,Rare,Uncommon,Rare,Common,Uncommon,Common,true
2202,0x15be5427B0B81234A273560789b195358f9bc30b,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Hot Orange,Dog Play,Magic Hour,Try Soul,Common,Uncommon,Epic,Epic,Common,Common,Common,true
2203,0xa7Bb90da18CF2EE503670003A2141d2d33443B2f,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Sun Spots,Dragon Roar,Dusk,Try Soul,Uncommon,Clan,Rare,Common,Common,Uncommon,Common,true
2204,0x681268Ef88D8927A7008176D53ad189015f2C2A2,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2205,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Lolita Jam,Dog Play,Sky View,Zero Soul,Uncommon,Common,Uncommon,Common,Rare,Uncommon,Clan,true
2206,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2207,0x97035e8847B58568ce6A18E7e0C0Ac68fafa6138,Spirit Guardian Edition 01,Grimbone,Officer,Scorched Earth,Faded,Dog Play,Dusty Orange,Self Aura,Common,Common,Common,Common,Common,Common,Common,true
2208,0xf80612974071e0cbF051fa63Da2Bd255550a177D,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2209,0x8b519BE0355acf8641cbdB9b6ade7e41e5557674,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2210,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Mime Burst,Lolita Jam,Dragon Roar,Lite Lime,Try Soul,Uncommon,Common,Common,Rare,Common,Common,Clan,true
2211,0x0C982bABD4DB889cC08D9e957cCBa41F585ca5e6,Spirit Guardian Edition 01,Grimbone,Master,Sun Rise,Blue Blaze,Dog Play,Dirty Yellow,Try Soul,Rare,Uncommon,Rare,Common,Epic,Epic,Uncommon,true
2212,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2213,0xba98d38b3C0306CE9B6d95B22ccE420BA09364e3,Spirit Guardian Edition 01,Emerald Hand,Officer,Emerald Palace,Aura,Dog Play,Lite Burst,Try Soul,Rare,Common,Common,Uncommon,Rare,Common,Common,true
2214,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Mime Burst,Saphire Star,Dog Play,Dull Blue,Zero Soul,Uncommon,Common,Common,Uncommon,Common,Uncommon,Clan,true
2215,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2216,0xc2E0233bE0c9A20F73db384E8A14679C59d31D9F,Spirit Guardian Edition 01,Emerald Hand,Officer,Elegance,Gem Stone,Dragon Roar,Emerald,Self Aura,Epic,Common,Common,Common,Epic,Common,Common,true
2217,0xfdeC8feCd13867C261ee39e18B93fbE005be01CB,Spirit Guardian Edition 01,Grimbone,Grand Master,Scorched Earth,Dusk,Dog Play,Magic Hour,Zero Soul,Epic,Uncommon,Rare,Common,Common,Common,Uncommon,true
2218,0xB373ccA006a52072329eBa2E129a8dA1f9323Ca5,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Dusk,Dragon Roar,Dusk,Zero Soul,Uncommon,Uncommon,Common,Uncommon,Common,Uncommon,Uncommon,true
2219,0xDc3Db3454d04dA7ccbef6afd91622D980F77a485,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Tumblers Mule,Lolita Jam,Dog Play,Sun Up,Try Soul,Common,Common,Common,Common,Common,Common,Clan,true
2220,0xfFd74DB2A749415C2d633450b701fB6F5450e587,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Elite,Dog Play,Sky Rise,Try Soul,Uncommon,Uncommon,Common,Uncommon,Rare,Common,Epic,true
2221,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Blue Blaze,Dragon Roar,Crimson,Zero Soul,Uncommon,Clan,Common,Uncommon,Common,Rare,Rare,true
2222,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Saphire Star,Dragon Roar,Sky View,Try Soul,Uncommon,Rare,Uncommon,Common,Common,Common,Common,true
2223,0xD16fd6Be095CFAc5E682A99362e2F754D30D115b,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Aura,Dog Play,Lite Burst,Self Aura,Common,Common,Epic,Epic,Common,Uncommon,Common,true
2224,0x4696a7f022a31a5da034216d02937f227559B958,Spirit Guardian Edition 01,Emerald Hand,Adept,Elegance,Aura,Dog Play,Royal Gem,Zero Soul,Common,Rare,Epic,Uncommon,Common,Uncommon,Common,true
2225,0x7C01A2cD31e95551451aFF455565d2e3c58093A0,Spirit Guardian Edition 01,Bubblegum Violence,Master,Harlequin Tonic,Yultide Up,Dragon Roar,Lite Lime,Try Soul,Uncommon,Common,Rare,Epic,Uncommon,Clan,Clan,true
2226,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Dark Side,Sun Spots,Dog Play,Dusk,Zero Soul,Common,Common,Epic,Common,Common,Rare,Uncommon,true
2227,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Tumblers Mule,Yultide Up,Dog Play,Ice Light,Self Aura,Epic,Common,Common,Uncommon,Common,Rare,Common,true
2228,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2229,0xa6e5ccD3231eba3E59D0e41a27761Ec0fE6DD497,Spirit Guardian Edition 01,Grimbone,Officer,Scorched Earth,Blue Blaze,Dragon Roar,Noon Sun,Self Aura,Common,Uncommon,Uncommon,Uncommon,Uncommon,Rare,Uncommon,true
2230,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2231,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2232,0x2386b1561d92e8c53be3997486709C7cd80F68Ef,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Gem Stone,Dog Play,Soul Yellow,Zero Soul,Epic,Uncommon,Epic,Rare,Common,Common,Common,true
2233,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Aura,Dog Play,Emerald,Zero Soul,Common,Common,Common,Uncommon,Uncommon,Common,Common,true
2234,0xb165B418f2773D12557B8023583915D54DE09b80,Spirit Guardian Edition 01,Grimbone,Master,Sun Rise,Dusk,Dog Play,Magic Hour,Self Aura,Uncommon,Common,Common,Rare,Uncommon,Rare,Uncommon,true
2235,0x81aEc8532fc44fB414451F35c6e4dF5C0220Df9c,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Tumblers Mule,Aquamarine Chill,Dog Play,Sky View,Self Aura,Common,Rare,Common,Common,Common,Epic,Uncommon,true
2236,0xA28Cf4aa339d31a58927ad552523B5922F841870,Spirit Guardian Edition 01,Grimbone,Adept,Sun Rise,Faded,Dog Play,Noon Sun,Zero Soul,Uncommon,Common,Rare,Uncommon,Common,Common,Epic,true
2237,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Aura,Dog Play,Sky Rise,Try Soul,Uncommon,Common,Rare,Uncommon,Rare,Rare,Uncommon,true
2238,0xe5cA67D07cEBcd57Bb138D5cD9787e3461fa0d40,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2239,0xF5EF36Ef681C1C470D2f4337cA2CEF1F74D757E8,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Sun Spots,Dog Play,Magic Hour,Try Soul,Common,Common,Uncommon,Uncommon,Common,Uncommon,Common,true
2240,0x5D3c50B4a75981134554a6ac352F58d09DAAa253,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Lolita Jam,Dog Play,Lite Lime,Zero Soul,Common,Uncommon,Uncommon,Uncommon,Common,Common,Clan,true
2241,0x4D0fe98B342a9AdC2A77760D0Abd815B5f9a847d,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Aura,Dog Play,Sky Rise,Zero Soul,Epic,Common,Rare,Rare,Common,Common,Common,true
2242,0x73649f7c5051E231Ff4F619A4B419B0772E4cc5d,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Saphire Star,Dog Play,Burst Orange,Zero Soul,Uncommon,Common,Uncommon,Epic,Common,Rare,Epic,true
2243,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Dark Side,Dusk,Dog Play,Magic Hour,Self Aura,Common,Common,Rare,Uncommon,Common,Common,Epic,true
2244,0x2d62c27cE2e9e66Bb8A667Ce1B60f7cb02fA9810,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2245,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2246,0x98cc5E5c2A2C2E1e7e1a414dA88a96E1624662A3,Spirit Guardian Edition 01,Emerald Hand,Grand Master,Emerald Palace,Aura,Dragon Roar,Emerald,Zero Soul,Common,Common,Common,Uncommon,Common,Uncommon,Rare,true
2247,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Tumblers Mule,Saphire Star,Dragon Roar,Dull Blue,Zero Soul,Common,Uncommon,Rare,Common,Common,Uncommon,Uncommon,true
2248,0x0a8C844194c2962E0F1761a3394039e802Eae546,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Lolita Jam,Dog Play,Dull Blue,Zero Soul,Common,Common,Uncommon,Uncommon,Rare,Common,Common,true
2249,0x5363c5230b078Ea6aEadd2dF08C7A395dE08d0C1,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Sun Spots,Dragon Roar,Dusk,Try Soul,Common,Uncommon,Clan,Common,Rare,Rare,Common,true
2250,0x47C81f0bb1efEc95e17524B639063bF6c8f10eb6,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Elite,Dog Play,Royal Gem,Self Aura,Epic,Rare,Rare,Common,Epic,Common,Common,true
2251,0x513f21d8Ff0fbeDdb4684e4B86ab72b804Fffe04,Spirit Guardian Edition 01,Emerald Hand,Runner,Elegance,Gem Stone,Dog Play,Sky Rise,Self Aura,Common,Common,Uncommon,Rare,Epic,Clan,Uncommon,true
2252,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Spirit Guardian Edition 01,Grimbone,Master,Scorched Earth,Faded,Dragon Roar,Dirty Yellow,Zero Soul,Uncommon,Rare,Clan,Uncommon,Common,Uncommon,Common,true
2253,0xdFB3a5D5440ad9F12223c6cE9f8243a8ED70Df30,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2254,0x2caa0A493605fa1D81Ca3087C9f57Bf2e441F1EA,Spirit Guardian Edition 01,Emerald Hand,Officer,Elite Corps,Aura,Dog Play,Sky Rise,Zero Soul,Uncommon,Common,Common,Rare,Uncommon,Common,Common,true
2255,0x1bcD14db8e75D9c845FBacb720d1459D6c7a5f3a,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Saphire Star,Dog Play,Sun Up,Try Soul,Uncommon,Rare,Common,Uncommon,Common,Rare,Uncommon,true
2256,0x19238dec7D0DD8D7c6D5674daBaC4a8DAD108F70,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Dusk,Dragon Roar,Noon Sun,Try Soul,Common,Rare,Common,Rare,Common,Common,Uncommon,true
2257,0x749F6E235823cf9eA1f65F76852891aB5e9Ce2CE,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Yultide Up,Dog Play,Ice Light,Try Soul,Common,Common,Common,Uncommon,Epic,Common,Common,true
2258,0x2f124208cebA9753cD3030dA0601741caba22d6F,Spirit Guardian Edition 01,Grimbone,Runner,Dark Side,Hot Orange,Dog Play,Dusk,Try Soul,Common,Common,Uncommon,Epic,Common,Uncommon,Common,true
2259,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Prism,Dragon Roar,Sky Rise,Zero Soul,Common,Common,Uncommon,Common,Epic,Clan,Common,true
2260,0x350DC39F5aD19e805465C4f8Eb0D98F61Eba1821,Spirit Guardian Edition 01,Emerald Hand,Master,Elite Corps,Elite,Dragon Roar,Lite Burst,Try Soul,Common,Uncommon,Rare,Common,Common,Common,Epic,true
2261,0xbdF4227aa95b8d7A85F5F8dA52A1d8467b90d0bE,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Yultide Up,Dragon Roar,Lite Lime,Try Soul,Rare,Common,Common,Common,Common,Common,Uncommon,true
2262,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Hot Orange,Dog Play,Dusk,Self Aura,Common,Common,Uncommon,Common,Uncommon,Uncommon,Epic,true
2263,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Mime Burst,Yultide Up,Dog Play,Sky View,Self Aura,Rare,Common,Common,Rare,Uncommon,Uncommon,Uncommon,true
2264,0x7Be01c4A4031BeDfCA68D2110e8f4306463a5F0D,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Elite,Dragon Roar,Sky Rise,Try Soul,Uncommon,Common,Common,Epic,Rare,Uncommon,Uncommon,true
2265,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Blue Blaze,Dragon Roar,Dusk,Zero Soul,Common,Uncommon,Common,Rare,Uncommon,Common,Common,true
2266,0xF618E8802e67214643495c54d6e3E401a600D2a1,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2267,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Aura,Dog Play,Royal Gem,Zero Soul,Rare,Epic,Common,Common,Common,Rare,Uncommon,true
2268,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Sun Spots,Dragon Roar,Magic Hour,Self Aura,Common,Rare,Rare,Uncommon,Uncommon,Uncommon,Common,true
2269,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Sun Spots,Dog Play,Dusk,Zero Soul,Epic,Common,Uncommon,Uncommon,Common,Rare,Epic,true
2270,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Ruby Cherry,Dog Play,Ice Light,Self Aura,Uncommon,Uncommon,Common,Common,Uncommon,Common,Common,true
2271,0xd9ff71d45d42D1C846a0383C4763333aDa32b14F,Spirit Guardian Edition 01,Emerald Hand,Runner,Elite Corps,Aura,Dog Play,Sky Rise,Try Soul,Common,Common,Uncommon,Common,Common,Uncommon,Uncommon,true
2272,0x60969C78d5d17fBb660b1E85D0C8C6dBc80E353E,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Saphire Star,Dog Play,Lite Lime,Try Soul,Common,Common,Common,Common,Rare,Clan,Common,true
2273,0xda35AB913df038D440dbBE0E0b21B8604e9378fD,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2274,0x4De5848840425f02df9a52aC8D595ebce5507a09,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Dusk,Dog Play,Hazy Blaze,Try Soul,Rare,Common,Uncommon,Common,Common,Common,Uncommon,true
2275,0x48406ff0dCB898a63d4a3FB8a9498a96EbaC75e5,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2276,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Elegance,Aura,Dog Play,Soul Yellow,Zero Soul,Common,Epic,Rare,Common,Uncommon,Common,Common,true
2277,0xFF9c08Ac3B2c4B754EE742Cf26474017a13d0085,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Sun Spots,Dog Play,Dirty Yellow,Try Soul,Uncommon,Uncommon,Common,Rare,Common,Uncommon,Common,true
2278,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Blue Blaze,Dog Play,Dusty Orange,Zero Soul,Common,Common,Common,Common,Common,Common,Uncommon,true
2279,0xAc3c3B56700bf32d9661222B71FE56276d946FAa,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2280,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Adept,Emerald Palace,Gem Stone,Dog Play,Scared Forest,Try Soul,Epic,Common,Common,Rare,Uncommon,Common,Common,true
2281,0x9d26b2312a48ce4c01E7F3EE46bf32928b7f4c97,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Tumblers Mule,Saphire Star,Dragon Roar,Ice Light,Self Aura,Common,Rare,Common,Clan,Uncommon,Clan,Common,true
2282,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2283,0xae3F3beaEF416F59A203b3f595543C8ef9E02Dca,Spirit Guardian Edition 01,Grimbone,Officer,Scorched Earth,Dusk,Dragon Roar,Dusk,Zero Soul,Common,Common,Rare,Uncommon,Common,Rare,Clan,true
2284,0x4A4d08b9389E2605FFEB301e4560E557fD75376C,Spirit Guardian Edition 01,Emerald Hand,Runner,Elegance,Elite,Dog Play,Solar,Try Soul,Rare,Common,Epic,Rare,Epic,Common,Uncommon,true
2285,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Runner,Scorched Earth,Blue Blaze,Dog Play,Aura Green,Zero Soul,Epic,Uncommon,Uncommon,Clan,Rare,Rare,Common,true
2286,0x79c806aE05C70DDF3D710e3B897c3032D21e58df,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Harlequin Tonic,Lolita Jam,Dog Play,Ice Light,Zero Soul,Common,Common,Common,Common,Rare,Common,Common,true
2287,0x8B5a55d3bEe1285BA59FeB29351CD1012008b324,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2288,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2289,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Emerald Hand,Runner,Emerald Palace,Prism,Dog Play,Emerald,Self Aura,Uncommon,Common,Rare,Uncommon,Epic,Common,Common,true
2290,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2291,0x2956d1d983DB9f41d3631AfC10E9A5Ec6Ae3Bbc0,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Aura,Dog Play,Emerald,Zero Soul,Common,Common,Epic,Uncommon,Uncommon,Uncommon,Uncommon,true
2292,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Tumblers Mule,Yultide Up,Dog Play,Sun Up,Self Aura,Rare,Uncommon,Uncommon,Common,Common,Uncommon,Common,true
2293,0x81F721c2c86Ed240D09a5061b4315A0709522e0A,Spirit Guardian Edition 01,Emerald Hand,Master,Emerald Palace,Aura,Dog Play,Sky Rise,Zero Soul,Clan,Common,Clan,Common,Rare,Common,Uncommon,true
2294,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Adept,Harlequin Tonic,Lolita Jam,Dog Play,Ice Light,Try Soul,Clan,Epic,Common,Common,Common,Uncommon,Common,true
2295,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Dusk,Dog Play,Hazy Blaze,Try Soul,Uncommon,Common,Rare,Clan,Common,Common,Clan,true
2296,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2297,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2298,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Tumblers Mule,Yultide Up,Dog Play,Sky View,Zero Soul,Clan,Common,Epic,Common,Common,Uncommon,Epic,true
2299,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Emerald Hand,,,,,,,,,,,,,,false
2300,0xa5CdfE030e98fA950aB331714d0484ADdE232654,Spirit Guardian Edition 01,Grimbone,Runner,Sun Rise,Dusk,Dog Play,Magic Hour,Self Aura,Uncommon,Rare,Uncommon,Rare,Common,Common,Common,true
2301,0xc595Cab4F1f720Df29637EBd5a94d678d8DCEF6f,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2302,0x21284131e5676960CC88C00739A3Dd66AAa292a7,Spirit Guardian Edition 01,Emerald Hand,Runner,Elegance,Elite,Dog Play,Lite Burst,Try Soul,Epic,Epic,Common,Rare,Uncommon,Uncommon,Uncommon,true
2303,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Grimbone,Adept,Scorched Earth,Blue Blaze,Dog Play,Hazy Blaze,Self Aura,Common,Common,Epic,Common,Common,Common,Uncommon,true
2304,0x000000000000000000000000000000000000dEaD,Spirit Guardian Edition 01,Bubblegum Violence,Runner,Tumblers Mule,Yultide Up,Dog Play,Burst Orange,Self Aura,Rare,Common,Common,Rare,Epic,Common,Clan,true
2305,0x518CCb64E39F52a1998ef0fe7f0A8eE394D5f010,Spirit Guardian Edition 01,Grimbone,,,,,,,,,,,,,,false
2306,0x761dFa09188424D1Ea67073595aD74A276F7efF3,Spirit Guardian Edition 01,Emerald Hand,Adept,Elite Corps,Aura,Dragon Roar,Sky Rise,Try Soul,Uncommon,Clan,Uncommon,Common,Uncommon,Common,Epic,true
2307,0xC6CE31DaFf9175a30FCEf932180b0A783cEAdD06,Spirit Guardian Edition 01,BubbleGum Violence,,,,,,,,,,,,,,false
2308,0xB1EF1294A197dCE5B639294c5A96B734B224dB92,Spirit Guardian Edition 01,Bubblegum Violence,Officer,Harlequin Tonic,Yultide Up,Dog Play,Ice Light,Try Soul,Rare,Common,Rare,Epic,Common,Common,Common,true
