Token ID,Owner Address,Attribute collection,Attribute clan,Attribute revealed,Attribute tier,Attribute appearance,Attribute color theme,Attribute animation,Attribute hair,Attribute hair color,Attribute skin tone,Attribute brow,Attribute brow detail,Attribute face,Attribute face detail,Attribute pupil,Attribute eye color,Attribute accessory,Attribute upper,Attribute lower,Attribute hands
677,0xC1e13Da6Ca2AE9a709D6a13F33e44bCC97727209,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Clan,Sky Green,Skin tone 03,Clan,01,Clan,01,Common,Aquamarine Chill,Rare,Clan,Common,Common
678,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Common,Dust,Skin tone 02,Rare,01,Rare,04,Common,Aura,Common,Rare,Rare,Common
679,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Male,Sun Rise,Powers,Rare,Crimson Locks,Skin tone 02,Common,00,Rare,05,Rare,Faded,Common,Common,Rare,Common
680,0x70c41a65BD14A5D21801177C0Afd7C8f15899de3,Pilot Edition 01,Bubblegum Violence,true,Officer,Female,Tumblers Mule,Finger Gun,Common,Bubblegum Chew,Skin tone 01,Clan,01,Common,00,Common,Yuletide Up,Rare,Common,Rare,Common
681,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elite Corps,Scream,Rare,Barren,Skin tone 04,Clan,00,Rare,03,Common,Gem Stone,Common,Rare,Common,Common
682,0x72C62d7238DbBD63AfA105c1114fd35F06E7c68f,Pilot Edition 01,Grimbone,true,Adept,Male,Scorched Earth,Powers,Rare,Ginger,Skin tone 02,Common,00,Rare,01,Common,Sun Spots,Rare,Common,Common,Common
683,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Harlequin Tonic,Dance,Clan,Sand X,Skin tone 02,Common,00,Rare,00,Rare,Sapphire Star,Common,Clan,Rare,Rare
684,0x4E59637669921ac21C7376A3c8BDCBe63C0915b3,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elite Corps,Scream,Clan,Dust,Skin tone 00,Common,01,Clan,00,Common,Aura,Rare,Common,Common,Rare
685,0x294f11C7704fD796f5dd609626B9371A627F55f6,Pilot Edition 01,Grimbone,true,Officer,Male,Scorched Earth,Powers,Common,Green Means Go,Skin tone 00,Rare,01,Common,00,Common,Dusk,Common,Rare,Rare,Rare
686,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Female,Emerald Palace,March,Rare,Camo Green,Skin tone 01,Common,01,Common,00,Common,Astral,Common,Rare,Common,Common
687,0x15687115dA9a33f22323F6F5B9Bd7200a0F1f7d3,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Harlequin Tonic,Dance,Rare,Jolt Lime,Skin tone 03,Rare,01,Rare,02,Clan,Yuletide Up,Common,Rare,Common,Common
688,0x8beD51a6FefAFCaD2Ff77B8909c1CE5471914385,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Rare,Sky Green,Skin tone 04,Rare,00,Common,00,Rare,Yuletide Up,Rare,Common,Common,Common
689,0xC236123DfaEb468246E909382c92Cb457fE19366,Pilot Edition 01,Emerald Hand,true,Adept,Female,Elite Corps,March,Common,Elegant Green,Skin tone 02,Common,01,Rare,04,Rare,Elite,Common,Rare,Common,Rare
690,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Male,Sun Rise,Powers,Rare,Green Means Go,Skin tone 02,Common,01,Common,00,Rare,Dusk,Common,Common,Rare,Common
691,0x513f21d8Ff0fbeDdb4684e4B86ab72b804Fffe04,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Mime Burst,Dance,Clan,Melon Light,Skin tone 04,Rare,01,Clan,00,Common,Yuletide Up,Rare,Clan,Clan,Common
692,0xD11b696366bE60c62fE515e72D60741070BE4b90,Pilot Edition 01,Emerald Hand,true,Master,Female,Elegance,March,Clan,Dark Umber,Skin tone 01,Rare,00,Rare,00,Common,Aura,Rare,Rare,Clan,Rare
693,0x9146BAC3E40494569f4d49477493298023dE5A13,Pilot Edition 01,Grimbone,true,Adept,Female,Scorched Earth,Bagua,Rare,Silver,Skin tone 04,Rare,01,Rare,01,Clan,Dusk,Common,Common,Rare,Common
694,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Emerald Palace,Scream,Common,Elegant Green,Skin tone 03,Common,01,Rare,03,Uncommon,Aura,Common,Common,Common,Common
695,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Female,Sun Rise,Bagua,Common,Late Blue,Skin tone 04,Common,00,Common,00,Common,Hot Orange,Rare,Rare,Rare,Common
696,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Clan,Electric Ice,Skin tone 03,Common,01,Clan,01,Common,Lolita Jam,Rare,Common,Common,Common
697,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Common,Melon Light,Skin tone 02,Common,00,Rare,05,Common,Yuletide Up,Common,Common,Clan,Common
698,0xf9930370C3B435367F447B09F241bB81aca587F4,Pilot Edition 01,Emerald Hand,true,Grand Master,Female,Elite Corps,March,Clan,Barren,Skin tone 01,Rare,01,Common,00,Common,Elite,Common,Clan,Rare,Rare
699,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Male,Scorched Earth,Powers,Clan,Champagne,Skin tone 04,Rare,01,Rare,00,Common,Blue Blaze,Common,Rare,Common,Common
700,0x8220c7FE99381Da2B84e3325fFa3342434C8cFb3,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Tumblers Mule,Dance,Common,Sand X,Skin tone 00,Clan,01,Common,00,Common,Lolita Jam,Common,Common,Common,Rare
701,0xbc311491524d82456544864c00C31B3b0f558440,Pilot Edition 01,Grimbone,true,Master,Male,Scorched Earth,Powers,Common,Silver,Skin tone 00,Clan,00,Rare,01,Common,Dusk,Common,Rare,Common,Common
702,0xEADeD1cE697da822b5e6634FB23984B9630a89d3,Pilot Edition 01,Emerald Hand,true,Runner,Female,Elite Corps,March,Common,Dark Umber,Skin tone 02,Common,00,Common,00,Rare,Aura,Clan,Common,Rare,Common
703,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Rare,Camo Green,Skin tone 02,Common,01,Clan,01,Common,Astral,Common,Common,Common,Common
704,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Harlequin Tonic,Finger Gun,Clan,Sky Green,Skin tone 00,Rare,01,Common,00,Uncommon,Sapphire Star,Clan,Rare,Common,Common
705,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Male,Dark Side,Powers,Common,Silver,Skin tone 01,Rare,01,Rare,02,Common,Blue Blaze,Rare,Common,Common,Common
706,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Tumblers Mule,Finger Gun,Clan,Jolt Lime,Skin tone 01,Common,01,Common,00,Uncommon,Ruby Cherry,Common,Clan,Common,Common
707,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Elite Corps,March,Common,Dark Umber,Skin tone 04,Common,00,Clan,02,Common,Astral,Common,Rare,Clan,Rare
708,0xB8ee2CdE5Ba1Cc8f3193748b12510691B259c7E9,Pilot Edition 01,Grimbone,true,Adept,Male,Scorched Earth,Powers,Common,Champagne,Skin tone 02,Common,00,Clan,01,Uncommon,Sun Spots,Common,Common,Rare,Rare
709,0x6B2032921640FF926C42695C3B6b35D1bBDd3BF0,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Tumblers Mule,Dance,Clan,Melon Light,Skin tone 01,Common,00,Clan,00,Uncommon,Yuletide Up,Rare,Rare,Common,Clan
710,0x21846DeD9d52caEAf902A131cece8413262552F0,Pilot Edition 01,Grimbone,true,Adept,Female,Scorched Earth,Bagua,Clan,Crimson Locks,Skin tone 03,Common,01,Clan,02,Rare,Dusk,Common,Common,Rare,Common
711,0x8faa0e1c623642282CE24453c558d017fFfd8609,Pilot Edition 01,Emerald Hand,true,Runner,Female,Elite Corps,March,Common,Eclipse,Skin tone 01,Rare,00,Common,00,Common,Elite,Clan,Rare,Common,Rare
712,0x4eBd0579A893EbEBc406f3Ce55a7D68433f0dcfB,Pilot Edition 01,Emerald Hand,true,Officer,Female,Emerald Palace,March,Common,Dust,Skin tone 03,Common,01,Common,00,Rare,Gem Stone,Rare,Common,Common,Common
713,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Tumblers Mule,Dance,Common,Sand X,Skin tone 01,Rare,00,Rare,00,Common,Lolita Jam,Common,Rare,Common,Rare
714,0x5b7cf28fE96Ec7598F03efd792BAD3EC0f25a415,Pilot Edition 01,Grimbone,true,Master,Female,Dark Side,Bagua,Common,Green Means Go,Skin tone 01,Common,00,Common,00,Uncommon,Blue Blaze,Common,Common,Clan,Rare
715,0xfeA23A2A83A877B59cfC0Be2e69aEDd921baC71C,Pilot Edition 01,Emerald Hand,true,Runner,Female,Emerald Palace,March,Common,Faded Blue,Skin tone 02,Common,00,Common,00,Uncommon,Elite,Common,Common,Common,Rare
716,0xD65cfbB30f9cbd03286E5F2D21470e78d7Cb864C,Pilot Edition 01,Grimbone,true,Officer,Female,Sun Rise,Bagua,Common,Late Blue,Skin tone 01,Common,01,Rare,05,Common,Sun Spots,Common,Clan,Common,Common
717,0x4E59637669921ac21C7376A3c8BDCBe63C0915b3,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Common,Sand X,Skin tone 01,Common,00,Common,00,Rare,Lolita Jam,Common,Common,Common,Rare
718,0xC3371Ef8911F8661533C54A0a7Ef76cd6d755D33,Pilot Edition 01,Grimbone,true,Runner,Female,Scorched Earth,Bagua,Common,Ginger,Skin tone 04,Common,01,Rare,00,Uncommon,Faded,Rare,Rare,Clan,Rare
719,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Tumblers Mule,Finger Gun,Rare,Sky Green,Skin tone 00,Common,01,Rare,05,Uncommon,Yuletide Up,Common,Rare,Common,Common
720,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elite Corps,Scream,Clan,Dark Umber,Skin tone 00,Rare,01,Common,00,Uncommon,Gem Stone,Clan,Common,Rare,Rare
721,0x8ca7767FE991b235766345BE3a4A5dcC7Ed94FFD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Emerald Palace,March,Common,Faded Blue,Skin tone 03,Clan,00,Rare,05,Uncommon,Elite,Clan,Clan,Rare,Rare
722,0xc8B51ed85f0e66220c372cde67c06D95Dd0b25Df,Pilot Edition 01,Grimbone,true,Officer,Female,Scorched Earth,Bagua,Common,Silver,Skin tone 03,Common,01,Common,00,Common,Sun Spots,Rare,Clan,Common,Clan
723,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Clan,Bubblegum Chew,Skin tone 01,Common,00,Clan,02,Common,Lolita Jam,Clan,Common,Common,Rare
724,0xe821C24C79A31cF42Bcc4E3Cb92Cbf0C2E6DF6cf,Pilot Edition 01,Bubblegum Violence,true,Officer,Female,Mime Burst,Finger Gun,Clan,Bubblegum Chew,Skin tone 00,Common,00,Clan,01,Rare,Aquamarine Chill,Clan,Rare,Clan,Common
725,0x83F5e1F279f70fdD77C62c33e201EbFB52C53D10,Pilot Edition 01,Emerald Hand,true,Master,Male,Elite Corps,Scream,Clan,Barren,Skin tone 02,Clan,00,Common,00,Common,Aura,Common,Common,Common,Common
726,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Female,Scorched Earth,Bagua,Common,Champagne,Skin tone 04,Rare,00,Common,00,Uncommon,Dusk,Common,Rare,Common,Rare
727,0x49947c9642952bfC90B6EaaA71B2E11b540F0a74,Pilot Edition 01,Emerald Hand,true,Officer,Male,Emerald Palace,Scream,Rare,Faded Blue,Skin tone 04,Rare,01,Common,00,Rare,Gem Stone,Rare,Common,Rare,Rare
728,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Harlequin Tonic,Dance,Common,Toxic X,Skin tone 00,Rare,01,Common,00,Uncommon,Sapphire Star,Common,Common,Common,Rare
729,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Female,Sun Rise,Bagua,Common,Champagne,Skin tone 03,Common,00,Common,00,Rare,Sun Spots,Common,Clan,Clan,Common
730,0x860f452Ef180B3686fC00F38f2770801Cee59b2d,Pilot Edition 01,Grimbone,true,Officer,Female,Scorched Earth,Bagua,Rare,Crimson Locks,Skin tone 03,Common,00,Common,00,Uncommon,Dusk,Clan,Clan,Common,Common
731,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Rare,Dust,Skin tone 00,Rare,01,Common,00,Clan,Gem Stone,Common,Common,Common,Rare
732,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Harlequin Tonic,Dance,Rare,Toxic X,Skin tone 01,Clan,00,Common,00,Common,Yuletide Up,Common,Common,Common,Rare
733,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Tumblers Mule,Finger Gun,Clan,Melon Light,Skin tone 02,Clan,00,Rare,05,Uncommon,Yuletide Up,Clan,Rare,Rare,Rare
734,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Elite Corps,March,Rare,Noir,Skin tone 04,Rare,01,Common,00,Rare,Gem Stone,Common,Common,Rare,Rare
735,0xC0fC9bfD335CDe161598070812c3d59E26863518,Pilot Edition 01,Grimbone,true,Grand Master,Female,Scorched Earth,Bagua,Rare,Champagne,Skin tone 03,Common,01,Rare,02,Uncommon,Dusk,Common,Rare,Rare,Rare
736,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Harlequin Tonic,Dance,Rare,Bubblegum Chew,Skin tone 03,Common,00,Rare,05,Uncommon,Sapphire Star,Common,Rare,Clan,Common
737,0xa4c64bB168ac752c7c2EB6ea5b154C4225c10bc0,Pilot Edition 01,Emerald Hand,true,Adept,Female,Elite Corps,March,Rare,Camo Green,Skin tone 01,Common,01,Common,00,Common,Elite,Rare,Common,Clan,Common
738,0x02565CCB5B48641808063BCA489A3312C85D6Ce9,Pilot Edition 01,Grimbone,true,Master,Male,Dark Side,Powers,Rare,Champagne,Skin tone 01,Common,00,Common,00,Common,Faded,Clan,Rare,Common,Common
739,0xD3E7682CfBC8C1e3AdF3f115eB6A824E998c1919,Pilot Edition 01,Emerald Hand,false,,,,,,,,,,,,,,,,,
740,0xdf820A1c31320237AD6E52df84a8c370d70Bc73A,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Clan,Sky Green,Skin tone 03,Common,00,Rare,02,Uncommon,Yuletide Up,Common,Common,Common,Common
741,0x9A2eeF4f5a3467B43d8aF2E0f7ef4075A66089FD,Pilot Edition 01,Grimbone,true,Adept,Female,Dark Side,Bagua,Clan,Green Means Go,Skin tone 04,Rare,01,Clan,01,Uncommon,Blue Blaze,Common,Rare,Rare,Rare
742,0xb5fc19845AB8956a879B04267Ce79B5EaC4c54e9,Pilot Edition 01,Grimbone,true,Runner,Female,Scorched Earth,Bagua,Clan,Green Means Go,Skin tone 03,Rare,01,Clan,01,Rare,Blue Blaze,Clan,Clan,Common,Rare
743,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Harlequin Tonic,Dance,Rare,Melon Light,Skin tone 00,Common,01,Common,00,Common,Lolita Jam,Rare,Rare,Clan,Clan
744,0xCe6529fF3f42B0C2D12Cd7FF3191BbDc216900F1,Pilot Edition 01,Emerald Hand,true,Runner,Male,Emerald Palace,Scream,Common,Noir,Skin tone 04,Clan,00,Rare,01,Rare,Aura,Rare,Rare,Common,Common
745,0x625Bd97F041D481adE1c384b5580a97Fc164955C,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Clan,Electric Ice,Skin tone 00,Common,01,Rare,05,Rare,Sapphire Star,Rare,Common,Rare,Common
746,0xA8063437489D12E211B941FCCb7AdB97Bc23140E,Pilot Edition 01,Emerald Hand,true,Runner,Male,Emerald Palace,Scream,Clan,Camo Green,Skin tone 02,Common,00,Clan,01,Uncommon,Aura,Rare,Clan,Rare,Common
747,0xD29BE4885E53BB300a2fdcC6B4793AEb3ef90da2,Pilot Edition 01,Grimbone,true,Officer,Male,Sun Rise,Powers,Common,Silver,Skin tone 03,Rare,00,Rare,04,Rare,Dusk,Common,Common,Clan,Clan
748,0xd24d5cBf954bAeE0F8C67D0e3AD85fa175344610,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Common,Dust,Skin tone 04,Common,01,Rare,02,Rare,Aura,Clan,Clan,Rare,Common
749,0xbdF4227aa95b8d7A85F5F8dA52A1d8467b90d0bE,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Tumblers Mule,Finger Gun,Rare,Jolt Lime,Skin tone 01,Clan,01,Common,00,Uncommon,Yuletide Up,Common,Common,Rare,Clan
750,0xB8AbdEb58E7784331115fF3262b53fC5737AF16f,Pilot Edition 01,Grimbone,true,Adept,Female,Dark Side,Bagua,Common,Silver,Skin tone 01,Clan,00,Common,00,Common,Dusk,Common,Rare,Rare,Clan
751,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Male,Scorched Earth,Powers,Common,Champagne,Skin tone 04,Common,00,Common,00,Common,Blue Blaze,Common,Common,Rare,Common
752,0xCF0776c21557B2a95EE2Fe15E0AB3b4f0a418Bc5,Pilot Edition 01,Bubblegum Violence,true,Officer,Female,Harlequin Tonic,Finger Gun,Clan,Bubblegum Chew,Skin tone 04,Common,00,Clan,00,Rare,Yuletide Up,Common,Common,Common,Common
753,0xD63045DAa0E74dc911B6Bb17c4c27917fbB30604,Pilot Edition 01,Emerald Hand,true,Officer,Male,Elite Corps,Scream,Common,Dark Umber,Skin tone 00,Common,00,Rare,01,Common,Elite,Rare,Rare,Common,Common
754,0xa076f87080A4c2a484545FA733c395F2cde9db84,Pilot Edition 01,Emerald Hand,true,Officer,Male,Elite Corps,Scream,Common,Elegant Green,Skin tone 02,Clan,00,Common,00,Rare,Elite,Rare,Common,Common,Rare
755,0xb631bBEfc3E8C052084E0944525f71299cf08F3d,Pilot Edition 01,Grimbone,true,Officer,Male,Scorched Earth,Powers,Common,Green Means Go,Skin tone 02,Clan,00,Common,00,Rare,Sun Spots,Common,Common,Common,Rare
756,0xb631bBEfc3E8C052084E0944525f71299cf08F3d,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Tumblers Mule,Dance,Clan,Bubblegum Chew,Skin tone 02,Common,01,Common,00,Common,Lolita Jam,Rare,Common,Clan,Common
757,0x534852702136A3e41bADE11c31F53313c5969768,Pilot Edition 01,Grimbone,true,Runner,Male,Sun Rise,Powers,Common,Champagne,Skin tone 00,Clan,00,Common,00,Common,Blue Blaze,Rare,Rare,Rare,Rare
758,0xb8F1B6e42E15b14547Ed10a75516F5990da54be3,Pilot Edition 01,Emerald Hand,true,Master,Male,Emerald Palace,Scream,Clan,Camo Green,Skin tone 02,Common,00,Clan,02,Uncommon,Astral,Common,Common,Clan,Common
759,0xCaf6024dc15F6ece1b45Db4a0ab71fd8bEA26b61,Pilot Edition 01,Bubblegum Violence,true,Officer,Female,Harlequin Tonic,Finger Gun,Common,Jolt Lime,Skin tone 03,Clan,01,Rare,03,Common,Lolita Jam,Common,Common,Rare,Common
760,0x29274e82E47aA5f63452cB4A66eddD4b7B953308,Pilot Edition 01,Emerald Hand,true,Officer,Male,Emerald Palace,Scream,Clan,Dust,Skin tone 00,Rare,01,Common,00,Rare,Gem Stone,Common,Rare,Clan,Common
761,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Male,Scorched Earth,Powers,Rare,Late Blue,Skin tone 04,Rare,00,Common,00,Rare,Dusk,Clan,Clan,Common,Rare
762,0x368293601391dEfC9fBd7c21887FE9ce8164faF4,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Harlequin Tonic,Dance,Common,Bubblegum Chew,Skin tone 04,Common,01,Rare,00,Common,Yuletide Up,Rare,Rare,Common,Rare
763,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Female,Sun Rise,Bagua,Rare,Ginger,Skin tone 03,Clan,00,Rare,04,Common,Dusk,Rare,Common,Rare,Common
764,0x7e2366D3B1DD232ccBc89DA5BC17Ca69105B635b,Pilot Edition 01,Emerald Hand,true,Officer,Female,Elite Corps,March,Common,Noir,Skin tone 04,Common,01,Rare,01,Common,Elite,Rare,Rare,Common,Common
765,0x82eb93B6B1f2b6320cc34e7C14211319C7010d3f,Pilot Edition 01,Bubblegum Violence,true,Officer,Female,Harlequin Tonic,Finger Gun,Common,Melon Light,Skin tone 01,Rare,01,Common,00,Clan,Lolita Jam,Rare,Rare,Clan,Clan
766,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Common,Elegant Green,Skin tone 03,Common,01,Rare,02,Rare,Astral,Common,Common,Rare,Common
767,0x843FF738749156FfCa6eEB5876cbCd2675Bc97aE,Pilot Edition 01,Grimbone,true,Runner,Male,Sun Rise,Powers,Clan,Void Blue,Skin tone 01,Common,00,Rare,01,Uncommon,Blue Blaze,Common,Rare,Common,Common
768,0x496eBE3d5104967a778e68b18439dE86ab673Fd9,Pilot Edition 01,Bubblegum Violence,true,Master,Female,Harlequin Tonic,Finger Gun,Common,Bubblegum Chew,Skin tone 01,Rare,00,Common,00,Common,Aquamarine Chill,Common,Common,Rare,Rare
769,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Male,Sun Rise,Powers,Common,Champagne,Skin tone 01,Common,01,Rare,05,Common,Dusk,Clan,Common,Common,Common
770,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Mime Burst,Finger Gun,Clan,Sand X,Skin tone 03,Rare,01,Clan,02,Common,Yuletide Up,Clan,Common,Rare,Clan
771,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Emerald Palace,March,Common,Camo Green,Skin tone 03,Rare,00,Common,00,Common,Elite,Common,Common,Common,Common
772,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Female,Scorched Earth,Bagua,Common,Ginger,Skin tone 02,Common,00,Common,00,Common,Blue Blaze,Common,Rare,Common,Common
773,0x04533242eFBd2913686E0A7E2EBE335E229804e3,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Mime Burst,Finger Gun,Common,Sand X,Skin tone 03,Common,01,Common,00,Uncommon,Lolita Jam,Clan,Rare,Rare,Clan
774,0x6CE55CaCA95a00E938EA07a3Ca38f2C941Fe917e,Pilot Edition 01,Emerald Hand,true,Officer,Male,Emerald Palace,Scream,Clan,Dust,Skin tone 00,Common,01,Common,00,Common,Elite,Common,Rare,Rare,Common
775,0xf3179b00Dc5dF461A3a8214399075fd62870B104,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Tumblers Mule,Finger Gun,Clan,Bubblegum Chew,Skin tone 04,Common,00,Clan,01,Clan,Sapphire Star,Clan,Common,Common,Common
776,0x43cD694a6C18ebFC6E8D1dAcd678C40a886Ec4Cb,Pilot Edition 01,Emerald Hand,true,Master,Male,Emerald Palace,Scream,Rare,Dust,Skin tone 00,Rare,01,Rare,03,Rare,Gem Stone,Rare,Rare,Common,Common
777,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Runner,Female,Sun Rise,Bagua,Rare,Ginger,Skin tone 02,Common,00,Rare,02,Rare,Dusk,Rare,Common,Common,Common
778,0x9434626d7431951ffa8Ba69725953d38f5125D13,Pilot Edition 01,Bubblegum Violence,true,Runner,Male,Tumblers Mule,Dance,Rare,Sand X,Skin tone 04,Common,00,Rare,01,Uncommon,Yuletide Up,Rare,Clan,Common,Common
779,0xB8AbdEb58E7784331115fF3262b53fC5737AF16f,Pilot Edition 01,Emerald Hand,true,Runner,Male,Elite Corps,Scream,Rare,Dark Umber,Skin tone 02,Rare,01,Common,00,Common,Aura,Clan,Rare,Clan,Rare
780,0x2f79F96269Dee4c43b62481270362b7970ef616d,Pilot Edition 01,Grimbone,true,Runner,Female,Dark Side,Bagua,Clan,Green Means Go,Skin tone 04,Common,01,Rare,01,Uncommon,Sun Spots,Common,Common,Common,Common
781,0x05bd145Bb8c370C8c290203417adD48Fa80005a0,Pilot Edition 01,Bubblegum Violence,true,Adept,Female,Harlequin Tonic,Finger Gun,Rare,Eclipse,Skin tone 00,Rare,01,Rare,04,Common,Aquamarine Chill,Common,Common,Clan,Rare
782,0x29274e82E47aA5f63452cB4A66eddD4b7B953308,Pilot Edition 01,Grimbone,true,Master,Female,Scorched Earth,Bagua,Rare,Silver,Skin tone 02,Common,00,Rare,02,Clan,Dusk,Common,Clan,Common,Clan
783,0xf3508b4b8777D5e7d843731d9Bbed3eA4090B7C2,Pilot Edition 01,Emerald Hand,true,Master,Male,Elite Corps,Scream,Rare,Elegant Green,Skin tone 02,Clan,00,Clan,01,Uncommon,Elite,Clan,Common,Common,Common
784,0xba41a44612a6caC54147A0869AD98B7E5856a362,Pilot Edition 01,Bubblegum Violence,true,Adept,Male,Tumblers Mule,Dance,Rare,Melon Light,Skin tone 03,Rare,00,Rare,01,Common,Lolita Jam,Rare,Common,Clan,Common
785,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Runner,Female,Elite Corps,March,Common,Dust,Skin tone 01,Rare,00,Common,00,Rare,Gem Stone,Rare,Rare,Common,Common
786,0x778A8452441dD05B42005929CB94038a533d75AD,Pilot Edition 01,Grimbone,true,Officer,Female,Sun Rise,Bagua,Common,Champagne,Skin tone 01,Common,01,Common,00,Uncommon,Dusk,Rare,Common,Rare,Rare
787,0x6B81ea1D1af42f9eFaA40954643Ee0fe2e4532bf,Pilot Edition 01,Emerald Hand,true,Master,Female,Emerald Palace,March,Rare,Barren,Skin tone 01,Rare,00,Rare,04,Common,Elite,Rare,Clan,Common,Common
788,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Grimbone,true,Adept,Male,Sun Rise,Powers,Common,Champagne,Skin tone 03,Common,01,Common,00,Clan,Dusk,Rare,Rare,Rare,Rare
789,0x78c7EcA3286038E98C4706518E7f65e4622CA61d,Pilot Edition 01,Bubblegum Violence,true,Runner,Female,Tumblers Mule,Finger Gun,Rare,Melon Light,Skin tone 00,Clan,01,Common,00,Common,Lolita Jam,Common,Common,Rare,Clan
790,0x000000000000000000000000000000000000dEaD,Pilot Edition 01,Emerald Hand,true,Adept,Male,Elite Corps,Scream,Rare,Dust,Skin tone 01,Rare,01,Rare,04,Clan,Elite,Clan,Rare,Common,Clan
