Token ID,Owner Address,Attribute egg type,Attribute background,Attribute leaf,Attribute ear,Attribute fur,Attribute mouth,Attribute eye,Attribute hair,Attribute head accessory,Attribute hand accessory,Attribute foreground,Attribute hatched egg,Attribute eyebrows,Attribute face accessory,Attribute eye sparkle,Attribute clothing,Attribute left arm,Attribute right arm,Attribute 1 of 1
1113,0xd5f248A47bC3AB693C8846A781E688D01a0c3198,,Yellow,Green,Tired,Heavy Brown,Smile,Round,Brown,,FL Bat,Sakura,Lucky,Sad,Teeth,Heart,,,,
1114,0x522b3BF4CF074D64B071e3153f2eE2FCc572a735,,Light Green,Purple,Normal,Light Moca,Smile,Round,,White Egg,,Sakura,Common,Sus,Eye Bags,Big Sparkles,White Egg,,,
1115,0x943c729B09968aFa43A62a7A32B95E70b1578865,,Grey,Teal,Tired,Heavy Moca,Yell,Bored,Moca,,Big Stick,Particles,Common,,Cucumber,,Purple Hoodie,,,
1116,0x9B1657B04A39B74527E2f5c8Cf626fE1925037C7,,Dark Green,Red,Normal,Heavy Grey,Teeth Smile,Crying,Grey,,,,Common,Sus,,Heart,WF Glider Gear,,Finger,
1117,0xe2ADe6394Ee6A457A886946Afa3998544c43f8D8,,Grey Sparkles,Blue,Sad,Light Brown,Smile,Round,Brown,WF Ninja Mask,WF Short Katana,,Common,,,Sparkles,,Peace Sign,,
1118,0xFfC2E8dadaAD2378ACC49D9954c855dE8d8e64Af,,Light Blue,Red,Sad,Heavy Grey,Drool,Tired,Grey,Toilet Paper,Black Katana,Sakura,Common,Sus,,,Toilet Paper,Finger,,
1119,0xe0a20b13952692BD13924Fd9d0048C3B20E13262,,Light Yellow,Pink,Sad,Light Brown,Yell,Excited,Brown,Banana Hat,Doodiwhacker,Rain,Common,,,,Samurai,,,
1120,0xbD590951B2fe4866ee701fB0fBC9cf6192fEa5CE,Common,,,,,,,,,,,,,,,,,,
1121,0x5768B58741da092fc91b3242b4E1fE8D2FD0720A,,Light Grey,Yellow,Normal,Light Yellow,Passive,Determined,Yellow,Banana Peel,Sake Bottle,,Common,,Blush,Sparkles,Blue Bowtie,Peace Sign,,
1122,0x53b7f43896cD49D31b0765dB7Bc8E1826d935C39,,Yellow,Gold,Normal,Gold,Passive,Round,Gold,Kitsune Mask,Bananagasm,Sakura,Divine,,,Dot,Purple Hoodie,,,
1123,0x3F86f18322a888d9b3adef38f127c941bCcc014D,,Pink,Teal,Normal,Heavy Moca,Passive,Relaxed,Moca,White Chef Wrap,Jingu Bang,Particles,Common,,,,Blue Kimono,,,
1124,0xE88313e9118E05C13ADE492377198d055FA90F10,,Dark Grey,Blue,Sad,Heavy Moca,Gasp,Determined,Moca,Red Headband,Sake Cup,,Common,,,Sparkles,Kappa Bag,,,
1125,0x7a6124D2c9A7Fd707aC420AEF7bF5831444B1CeB,,Yellow,Blue,Sad,Heavy Dark,Surprised,Bored,Dark,,Coconut,,Lucky,,,,,Peace Sign,,
1126,0x7c75Cd07b63e3551CbB003de9bEff1D5790A43dA,,Green,Rainbow,Normal,Rainbow,Smile,Determined,,White Egg,,,Divine,,,Sparkles,White Egg,,,
1127,0x88d75956f8c13Af615C6D9758Aad0f6095125ae4,,Light Blue,Red,Tired,Heavy Yellow,Hmph,Frown,Yellow,Witch Hat,Taiyaki,,Common,,,,Pink Duck Floatie,,,
1128,0x759C65CC7d062615dC2a8bCDeB25e6B06e7D1912,,Shadow Blue,Shadow,Normal,Shadow,Hmph,Round,,Skull Mask,,,Divine,Surprised,,Sparkles,,Finger,,
1129,0x184E4eE2b4fE84D763cD3DeB354eB46B713Af2DC,,Pink,Blue,Normal,Heavy Dark,Surprised,Relaxed,,Brown Egg,,,Common,,Cucumber,,Brown Egg,Peace Sign,,
1130,0xC0fC9bfD335CDe161598070812c3d59E26863518,,Dark Fog,Onyx,,Heavy Yellow,Tongue out,Bored,Yellow,,BabyKong Plushie,Light Streaks,Lucky,,,,CyberKongz Onesie,,,
1131,0x4Ae19474FBAe2858d001D3d88E6835bB8BC93Aab,,Red,Rainbow,Normal,Rainbow,Tongue out,Tired,Rainbow,White Shades,Red Katana,,Lucky,Angry,Scar,,,,,
1132,0xa715D6D4Eb023b9FCbe9a8285FDC13ee2DEa2ebB,,Light Blue,Purple,Excited,Light Yellow,Surprised,Spaced out,Yellow,Tie Dye Headband,Calligraphy Brush,,Lucky,Angry,,,Purple Hoodie,,,
1133,0xc499b56D8131e721074fc9DB3Ee64340B90F889E,,Light Green,Onyx,,Light Moca,Gasp,Round,,Bear Head,,Talisman,Common,Angry,,Big Sparkles,,,,
1134,0xcBa996949b1b45A6c080aEE52F4c79FA00Cba3B5,,Pink,Teal,Normal,Heavy Yellow,Yell,Crying,Yellow,Smiley Mask,Doodle Book,Rain,Common,,Scar,Sparkles,Blue Bunny Bag,,,
1135,0x2db780ffce84c82a9579a9bAb0313476FC52E789,,Dark Green,Green,Sad,Heavy Moca,Yell,Crying,Moca,Black Beret,,,Lucky,Pointy,Blush,Watery,Blue Kimono,,,
1136,0x274ef3E7b6e9101542524EFDFEC71CCF16d3F4d5,,Grey Sparkles,Yellow,Normal,Heavy Brown,Teeth Smile,Bored,Brown,,,Particles,Common,Sad,White Round Glasses,,Garbage Can,,,
1137,0x49F609050C1ECBEdAd3e17F63E94eB18142Cf37d,,Purple,Purple,Tired,Light Yellow,Hmph,Determined,Yellow,Red Headband,Vanilla M9,,Common,,Scar,Sparkles,Blue Overalls,,,
1138,0x2db780ffce84c82a9579a9bAb0313476FC52E789,,Light Green,Blue,Sad,Heavy Brown,Scared,Frown,Brown,,,,Common,Sus,,,Purple Hoodie,,,
1139,0x3747238AA54eEF5533B033E38d33d5b3d10a73c2,,Galaxy,Rainbow,Normal,Rainbow,Surprised,Bored,Rainbow,,Lattern,,Lucky,Angry,,,,,,
1140,0xdfdED1c56d812b04898E443663E8380f200bEe76,,Green,Green,Sad,Light Brown,Gasp,Frown,Brown,Black Beret,,,Common,Bushy,Blush,,Blue Blanket,,,
1141,0x6f1644a6D06f590AC30C2A63B8fc1641732fF645,,Dark Green,Yellow,Tired,Light Brown,Disgust,Crying,Brown,Blue Kanzashi,Ketchup Knife,,Common,,,Watery,School Uniform,,,
1142,0x04c3f6B718c6229829FC2389592199f4A4789e11,,Light Grey,Purple,Normal,Heavy Grey,Devious,Crying,Grey,Moki Cap,Halo Halo,,Lucky,Angry,,Sparkles,Yellow Artist Apron,,,
1143,0xd8d9E9605eb06a2C7605e19EF1B8Fa15d00be36d,,Pink,White,Tired,Light Moca,Yell,Crying,Moca,White Shades,,,Common,Sus,,Watery,Green Overalls,,Finger,
1144,0x02836137a7Dd87461f02d3EB39a74990f589f59c,,Light Pink,Pink,Excited,Heavy Yellow,Open Smile,Round,Blue Bob,,Doodle Book,,Common,Sus,,Big Sparkles,,,,
1145,0xd1f1d84f24AE370aBB40B997525113A142aAffE2,,Teal,Pink,Tired,Heavy Yellow,Tongue out,Determined,Blonde Long,,Coxinha,,Common,,,Sparkles,,,,
1146,0x971487d0fa3DecfAC10F73417c595fCC2BcB7033,,Dark Green,Green,Excited,Light Brown,Yell,Frown,Brown,,,,Lucky,,Blue Pacifier,,Gold Can,,,
1147,0x42Ea413588C030cC4cFc54291744E053F2Ea60D4,,Grey,Purple,,Light Yellow,Yell,Determined,Yellow,,Vanilla M9,,Common,,Scar,Sparkles,Purple Sleeveless,,,
1148,0x98a8203d4ED312e5D7f0A8c3c6C363542538CB33,,Light Yellow,Green,Excited,Light Moca,Scared,Determined,Moca,Red Headband,Calligraphy Brush,,Common,,,Dot,,Peace Sign,,
1149,0x24A5dFbcB405B8B09c0Dc381Ed25dFd0f2EFc1BC,,Yellow,Red,Excited,Light Brown,Surprised,Round,,Pink Bunny Headband,Taiyaki,,Common,,,Dot,Blue Bunny Bag,,,
1150,0x5f5DF51f54029DA70eBcA652A73DA9fedB48a79D,,Blue,Green,,Light Moca,Scared,Tired,Moca,,Bowl of ???,,Common,Angry,Blush,,Red Sleeveless,,,
1151,0xd0411B7c36D68f664b29A08c1835745E8eb4b472,,Dark Green,Red,Tired,Heavy Yellow,Sad,Determined,Yellow,,,,Common,,Sunglasses,Dot,Yellow Duck Floatie,,,
1152,0xd0411B7c36D68f664b29A08c1835745E8eb4b472,,Light Grey,Purple,Normal,Heavy Moca,Smile,Determined,Moca,Yellow Nightcap,,Sakura,Lucky,,Straw,Dot,TMA Zulu Rockets,,,
1153,0x855e8636f4235bdbA1Ee6c71C7CD61aeF73c70f6,,Teal Sparkles,Blue,Tired,Heavy Yellow,Teeth Smile,Frown,Yellow,Yellow Nightcap,Red Wine,,Common,,Annoyed,,,,,
1154,0x9777225e7225966698dDed1C400189ffC7bff654,Common,,,,,,,,,,,,,,,,,,
1155,0x215586df7534691b0957cd75cE4Fc5399E1C0198,,Green,Rainbow,Normal,Rainbow,Surprised,Frown,Rainbow,Heart Glasses,Water,,Common,Sad,Eye Bags,,Pink Overalls,Finger,,
1156,0x215586df7534691b0957cd75cE4Fc5399E1C0198,,Dark Blue,Rainbow,Normal,Rainbow,Scared,Determined,Rainbow,Red Headband,,Sakura,Common,,Blue Pacifier,Sparkles,Green Overalls,,,
1157,0xF8DA2326EE7C841cec658023595066b6f2dEb356,,Dark Grey,Green,Normal,Heavy Brown,Passive,Determined,Brown,,,,Common,,Villian Sunglasses,Dot,,,,
1158,0x70F55acc9d951532f944A29BCaf9b61CA4af1727,,Dark Green,Yellow,Tired,Light Moca,Teeth Smile,Shocked,Moca,Blue Headband,,,Common,Sus,,,Blue Blanket,,,
1159,0x76f27F3739DF14fb6Bb6F69e7cc8246565fbEceD,,Light Yellow,Red,Normal,Light Yellow,Hmph,Crying,Yellow,Large Straw Hat,,,Common,,,Heart,Straw Kimono,,,
1160,0xd63401829bEdE19622c7a766658bf844144299cc,,Pink,Green,,Light Dark,Teeth Smile,Crying,Dark,,Blue Sensu,,Common,,Scar,Dot,Purple Sleeveless,,,
1161,0x4eD22a143756434dbDB8BA714d214E572568A07e,,Grey Sparkles,Red,Normal,Heavy Moca,Sad,Excited,Moca,,Arm Sling,,Common,,Sunglasses,,,,,
1162,0x881FF198660c59Da0c5f6Ba1F52dc68814786EAf,,Light Pink,Blue,Normal,Light Grey,Gasp,Round,Grey,,,Heavy Snow,Common,,,Sparkles,Teal Thin Scarf,,Peace Sign,
1163,0x30252B624566c70925E6383B9433a77dA873954d,,Dark Green,Rainbow,Normal,Rainbow,Hmph,Determined,Rainbow,White Explorer Hat,Green Beetle,,Lucky,,,Dot,White Bunny Bag,,Peace Sign,
1164,0x0e734bb56Bb955198787DD046e46eAe53F2A8e0E,,Grey,Blue,Normal,Heavy Brown,Disgust,Frown,Brown,,Steamed Bun,,Common,Angry,,,Teal Hoodie,,,
1165,0x5a3e6F961eF49A1D721E6b35b29e7Ef5Fe0c5feF,,Dark Blue,Rainbow,Normal,Rainbow,Scared,Bored,Rainbow,Maid Headband,Banana Parfait,,Divine,,Eye Bags,,Maid Apron,,,
1166,0x29e860e4851daa5b30190114A668c2Af9f45e9dd,,Dark Green,Blue,Normal,Heavy Brown,Hmph,Excited,Brown,,,,Common,Sus,,,Ninja Shirt,,,
1167,0xD79CBd8229c47BB8DD08daf2f95b2b5226d078Ea,,Teal,Green,Tired,Light Grey,Hmph,Determined,Grey,,Big Leaf,,Common,,Blush,Dot,Teal Hoodie,,,
1168,0x522b3BF4CF074D64B071e3153f2eE2FCc572a735,,Dark Blue,Green,Tired,Light Brown,Teeth Smile,Tired,Brown,,,,Common,Sad,Scar,,Banana Onesie,,,
1169,0x1eD8B3F3BD6a624De47f81Beea101f0d15CDfbC8,,Teal Sparkles,Blue,Tired,Light Dark,Sad,Tired,Dark,Mom Cap,Capirinha,,Common,Angry,Pink Pacifier,,Toilet Paper,,,
1170,0x95De56c9C5880523D788b8f19282b0704661694D,,Light Green,White,Tired,Light Brown,Passive,Happy,Brown,Fish Bone,Black Katana,,Common,,,,Casual Kimono,,,
1171,0xF8Cb9396b20c962978B3Bd23D8905469CD638127,,Purple Sparkles,Teal,Excited,Light Moca,Tongue out,Shocked,Moca,,Golden Ramen,,Common,Surprised,Blush,,Yellow Bandana,,,
1172,0xED3d6671d0a116612CFDe9B7446c8488F6Aaf2BE,,Teal Sparkles,Yellow,Normal,Heavy Yellow,Scared,Crying,Yellow,TMA Noble Skull,,,Common,Bushy,,Dot,,Peace Sign,,
1173,0x2C630cFD30fFaeB58a2b6fEf1e14a85Af207BdDe,,Shadow Purple,Shadow,Normal,Shadow,Sad,Determined,,,Jingu Bang,Talisman,Divine,,,Sparkles,,,,
1174,0xd3FcBd2e9B7e2f06E20FAEd1dc9470B8A1e7A30c,,Blue,Rainbow,Normal,Rainbow,Tongue out,Round,Rainbow,Black Beret,,,Common,Sus,,Big Sparkles,Casual Kimono,,,
1175,0x06C6e53DA10BDEf223952f108A763B0A860910f2,,Purple Sparkles,Onyx,Normal,Light Grey,Smile,Happy,Grey,White Shades,Coffee,,Common,,Annoyed,,,,,
1176,0x269794a3e2a7822907d67017fE35FB9fFD95D45C,,Shadow Purple,Shadow,Normal,Shadow,Passive,Crying,,,Gold Raffle,,Divine,Bushy,,Heart,,,,
1177,0xcBa996949b1b45A6c080aEE52F4c79FA00Cba3B5,,Purple,Purple,Tired,Light Moca,Surprised,Determined,Moca,Smiley Mask,,,Lucky,,,Sparkles,,,,
1178,0x06985F95948c00A565dfcF3d47382DF3d203f22a,,Galaxy,Green,Tired,Light Yellow,Tongue out,Happy,Yellow,Duck Bucket Hat,Balloons,Sakura,Common,,,,Blue Kimono,,,
1179,0xE43A77679BC0B2F01D75396DD81290756A83010C,,Nature,Blue,Tired,Light Dark,Scared,Happy,Dark,,,,Common,,,,,,,
1180,0x6C843Ac807b839690bc014C3a26e72ab0fbaBBb4,,Light Grey,Rainbow,Normal,Rainbow,Scared,Determined,Rainbow,Skull Mask,,,Divine,,,Dot,Lemon Bag,,Finger,
1181,0x39C30EDF793aE411B15674B45c06B68837e02251,,Dark Blue,Rainbow,Normal,Rainbow,Devious,Frown,Rainbow,Shiny Blue Glasses,Buff Moki,,Divine,,,,Purple Hoodie,,,
1182,0xd3B7d2fc9b5055CF1409F8E14380119CE57764ad,,Dark Green,Teal,Excited,Heavy Brown,Smile,Frown,,Pink Bunny Headband,WF Short Katana,,Common,Angry,Teeth,,Purple Hoodie,,,
1183,0x98a8203d4ED312e5D7f0A8c3c6C363542538CB33,,Light Blue,White,Sad,Heavy Brown,Hmph,Frown,,Brown Egg,Banana Parfait,,Common,Angry,,,Brown Egg,,,
1184,0xF08A3f35e04ba3438c0E06e2C364aE4DaeF61B2d,,Pink,Green,Normal,Light Dark,Devious,Bored,,Horns,Water,,Lucky,,Annoyed,,Daimyo Kimono,,,
1185,0xF597CE2e70Ba06E926De0fE75E687C3D1fFCfE25,,Light Pink,Red,Sad,Light Grey,Tongue out,Determined,Grey,Star Glasses,Ketchup Knife,,Common,,Clown Paint,Sparkles,Purple Hoodie,,,
1186,0x2AD14C57f33a2502A84B00f74448bC8e31033Eb5,,Red,Teal,Normal,Light Brown,Sad,Round,Daimyo,,Bananagasm,,Common,Pointy,,Dot,Casual Kimono,,,
1187,0x3DDA1453805F86C61F27d863F5178677526DD6CD,,Pink,Onyx,Tired,Light Brown,Smile,Crying,Brown,Towel,Blue Net,,Lucky,,Straw,Watery,Towel,,,
1188,0xf64c003DdaeE591e77A9B6B9ef63082D503aDc5B,,Colorful Grid,Green,Excited,Light Brown,Chubby,Crying,Brown,Big Bow,Tomato,Particles,Common,Sad,,Watery,Teal Hoodie,,,
1189,0x81FC2ce2c5ABD6590dc6D58e328d9B5096Ad9771,,Light Pink,Blue,Normal,Light Moca,Sad,Bored,Moca,Yellow Nightcap,,,Common,Sad,,,Red Thin Scarf,,Finger,
1190,0x3cbdD7112dBA0e5B1d3d104030DEDa469A4eb611,,Grey,Red,Normal,Heavy Moca,Sad,Happy,Moca,,,,Common,,Blush,,,,Finger,
1191,0xd0357573E660d2FA4c6b31c5FfDa80F499D5F8C6,,Purple Sparkles,Green,Normal,Heavy Grey,Passive,Relaxed,Grey,,Purple Cyberpunk Katana,,Common,,,,Blue Overalls,Finger,,
1192,0xc71ba3bB0EEc3c5A255FB3BCC7f0bfb1d6F29D64,,Green,Yellow,Tired,Light Grey,Passive,Determined,Grey,Black Head Band,Coffee,Sakura,Lucky,,,Sparkles,,,,
1193,0x46e568A762479B3d517A858e1F5Ec03E4Bc2309b,,Green,Yellow,Normal,Light Grey,Devious,Determined,Grey,,Shepherds Crank,,Common,,,Dot,Purple Hoodie,,,
1194,0xb631bBEfc3E8C052084E0944525f71299cf08F3d,,Dark Green,Green,Excited,Heavy Brown,Smile,Bored,Brown,Fish Bone,Pizza,,Lucky,Sus,,,Samurai,,,
1195,0x46C6685f86DC7A9fD220575A0eF626ae11514eb7,,Purple,Red,,Light Yellow,Gasp,Crying,Yellow,,Coxinha,,Lucky,Angry,,Watery,Cat Onesie,,,
1196,0x3F86f18322a888d9b3adef38f127c941bCcc014D,,Teal Sparkles,Green,Excited,Heavy Dark,Surprised,Frown,Dark,Red Hat,,,Common,Pointy,,,,,Finger,
1197,0x4223e374D142C987b345d263051D04ff93434E83,,Light Green,Green,Excited,Light Moca,Tongue out,Crying,Moca,,Gold Beetle,,Lucky,Pointy,,Big Sparkles,White Bunny Bag,,,
1198,0x2E055D5D9C3c502A6f919C5E371757a2bA42ea89,,Green,Blue,Tired,Light Brown,Smile,Happy,Brown,Maid Headband,Red Rose,,Common,,Teeth,,Maid Apron,,,
1199,0xdeDf8a290dF888B36a3906a7A01Bc828001F4a34,Common,,,,,,,,,,,,,,,,,,
1200,0x3D18Fd39F1cf2d5989955817BB63277A7eF7e5Da,,Red,Green,Tired,Light Brown,Passive,Determined,Brown,Pirate Bandana,Purple Cyberpunk Katana,,Lucky,,,Sparkles,Samurai,,,
1201,0x17334e42a8B279e7974CdB87c74b8C7416Aa8C97,,Teal,Rainbow,Normal,Rainbow,Scared,Round,,Oni Mask,Red Katana,,Lucky,Surprised,Eye Bags,Big Sparkles,Purple Hoodie,,,
1202,0x195a2d3b21e3D20fd9Ab506c8408CB0b1A0728C2,,Pink,Blue,,Heavy Brown,Disgust,Crying,Brown,,Fish,,Common,Sus,,Big Sparkles,White Sheep Onesie,,,
1203,0xD90aBb7911Fee7223Dd6e4EC460281a5299D0c4A,,Light Green,Green,Tired,Light Grey,Teeth Smile,Determined,Grey,Tan Explorer Hat,Red Katana,,Lucky,,,Dot,Blue Kimono,,,
1204,0x82a76148833AE02DC9bC61AfDB2955c7511ddA59,,Blue,Pink,Tired,Light Yellow,Gasp,Excited,Yellow,Red Hat,Pink Sensu,Sakura,Common,Angry,Bandaid,,,Peace Sign,,
1205,0x8F9799A47C85Fa700204a703B37E46DE2a2bc022,,Dark Blue,Rainbow,Normal,Rainbow,Smile,Shocked,Rainbow,,Sake Bottle,,Divine,,,,,,,
1206,0xCDF91005DFBD8893AA28E0b4C5Bc05d00618E837,,Red,Blue,Normal,Light Dark,Devious,Determined,Dark,Blue Chef Wrap,,,Common,,Blush,Dot,,,Finger,
1207,0x9B1657B04A39B74527E2f5c8Cf626fE1925037C7,,Gallery Blue,Pink,Sad,Light Yellow,Gasp,Shocked,,White Bunny Headband,,,Common,Sad,,,,,Peace Sign,
1208,0x94274eE63581bDDFA5DA3b9FE4BEAEB9b4C07bEC,,Nature,Green,Sad,Light Moca,Scared,Crying,Moca,Towel,Blueberry Parfait,,Common,Sus,,Heart,Towel,,,
1209,0x1Aac63418FE4FFDfc1156deAFD6B3960B8371183,,Yellow,Purple,Sad,Heavy Yellow,Chubby,Tired,Yellow,Tan Explorer Hat,Toilet Paper,,Lucky,,,,Teal Hoodie,,,
1210,0xc795C77003858ddbc9dc7bE85aFF415308c4c266,Lucky,,,,,,,,,,,,,,,,,,
1211,0x07Ef1b8E0a55D827090CFdFc1f3A0F1DE5c4c0EC,Lucky,,,,,,,,,,,,,,,,,,
1212,0x07Ef1b8E0a55D827090CFdFc1f3A0F1DE5c4c0EC,Common,,,,,,,,,,,,,,,,,,
1213,0xd3a023A542D78fC81a5d0399f5c2400387BB653e,,Purple,Onyx,Sad,Heavy Dark,Passive,Crying,Dark,Blue Snapback,,Sakura,Common,Angry,,Sparkles,Teal Hoodie,,,
1214,0x3b07F148a87A274164ecfF5E5c07E9334983AcFD,,Yellow,Red,Normal,Light Brown,Scared,Shocked,Brown,TMA Tesla Visor,Banana Parfait,Rain,Common,,,,Purple Hoodie,,,
1215,0x7b49F722ff9b35F920ef482474De0c856a3A5737,,Yellow,White,Tired,Light Brown,Sad,Tired,Brown,,,,Common,Pointy,,,,,Finger,
1216,0x4833C1A18FdBac5aC8355dA24256A5FCAc1da696,,Dark Green,Green,Sad,Light Yellow,Gasp,Bored,Yellow,White Shades,Steamed Bun,,Common,,,,Jiangshi,,,
1217,0x46ad48776f8cF25c545BDB559f3D5d001172Ca4b,,Ronin Aurora,Blue,Sad,Light Brown,Passive,Determined,Brown,Yellow Nightcap,Mochi,,Common,,Eye Bags,Dot,,,,
1218,0x751a3B925d9143373683621d4259a662eF0F947c,,FL Arena,Red,Normal,Light Moca,Disgust,Frown,Moca,,Gold Katana,,Common,Angry,Bandaid,,Ninja Shirt,,,
1219,0x0fD88b2c40029c20c4a174FD136088cfa5329F04,,Light Grey,Teal,Excited,Light Grey,Devious,Frown,Grey,Tengu Mask,,,Lucky,,Scar,,,,Peace Sign,
1220,0x04c3f6B718c6229829FC2389592199f4A4789e11,,Light Yellow,Rainbow,Normal,Rainbow,Sad,Crying,Blonde Long,,FL Comic,,Common,,,Dot,,,,
1221,0xb0c54d5Ffb118da691143C717f205f57FaB09a21,,Teal,Blue,Normal,Light Brown,Yell,Determined,Brown,Tie Dye Headband,Dango,Light Snow,Lucky,,,Sparkles,Jiangshi,,,
1222,0x751a2f8d2fd300a0e7A87beaDE85c1b3B308A30d,,Teal Sparkles,Green,Excited,Light Brown,Teeth Smile,Tired,Brown,,Banana Parfait,,Common,,Monocle,,,Peace Sign,,
1223,0xB5409d8117B69bE3b983485188DCB6966570F366,,Ronin Moon,Green,,Heavy Grey,Smile,Frown,Grey,,Black Katana,,Lucky,Sad,,,CyberKongz Onesie,,,
1224,0xc66F875DFAeb6801135bA98dd0825366983Ef465,,Light Grey,Blue,Normal,Light Dark,Tongue out,Shocked,Dark,Pink Beret,,,Lucky,,,,,,,
1225,0x3c9960BB5EF614Ef2ee4464575007389d7baC676,,Pink,Yellow,Tired,Heavy Yellow,Sad,Spaced out,Yellow,Tan Explorer Hat,,,Lucky,Sad,,,Blue Blanket,,,
1226,0x3c9960BB5EF614Ef2ee4464575007389d7baC676,,Green,Green,Normal,Light Moca,Teeth Smile,Relaxed,Moca,Yellow Nightcap,Bowl of Eggs,,Lucky,,Blush,,,,,
1227,0x4B4c88Fc163f4969C0dd97F7915c5e1aAc1c81f6,,Purple Sparkles,Blue,Tired,Heavy Grey,Gasp,Tired,,Pink Bunny Headband,Mate,,Lucky,Sus,Monocle,,,,,
1228,0xB525eA0268cfF5aA01db9dAC42C84249Fb98c4b4,,Light Yellow,Red,,Light Brown,Yell,Tired,Brown,,Toilet Paper,,Common,Angry,,,Ratz Onesie,,,
1229,0x3F86f18322a888d9b3adef38f127c941bCcc014D,,Yellow Sparkles,Pink,Sad,Light Brown,Drool,Tired,Brown,Tie Dye Headband,,,Common,Bushy,,,Red Bowtie,Finger,Peace Sign,
1230,0xF62884f13F6b9c1F92BF4A5401A877C7a3da0100,,Green,Pink,,Light Grey,Hmph,Determined,Grey,,,,Common,,,Sparkles,Purple Sleeveless,,,
1231,0xEd6245fE4CbaBd627a6692877D500bE7dd4C79c9,Common,,,,,,,,,,,,,,,,,,
1232,0x29e6955461E1B7d4146583e75FcA3E4e9b4f16f1,,Light Pink,Green,,Heavy Brown,Drool,Determined,,Bear Head,Vanilla M9,,Lucky,,,Sparkles,,,,
1233,0xCac3d7DDc8948c18B7F64f7a1273D472624bb008,,Pink,Red,Tired,Light Dark,Yell,Tired,Dark,Tie Dye Headband,,Particles,Common,,,,,,,
1234,0x1dA8bF59E1c49db5fDc39FF91FD1e322FecaA870,,Light Grey,Yellow,Sad,Light Grey,Disgust,Frown,Grey,White Explorer Hat,Gord,Sakura,Lucky,Sus,Blush,,Yellow Bandana,,,
1235,0xc6b42710Ada2C80a535Bb49b5018B12430200F34,,Spirit Blue,Spirit,Normal,Spirit,Tongue out,Frown,,,Spirit Flame,Sakura,Divine,Sus,,,,,,
1236,0xd63401829bEdE19622c7a766658bf844144299cc,,Teal Sparkles,Blue,Normal,Light Yellow,Hmph,Crying,Yellow,Black Beret,Sushi,Rain,Lucky,,,Sparkles,Purple Hoodie,,,
1237,0xaFfeb7e53030a04C38eF8c9D053b77D3D8fc8Df1,,Blue,Pink,Sad,Heavy Dark,Surprised,Shocked,Dark,,White Controller,,Common,,,,Purple Hoodie,,,
1238,0x212C524B0d972e5900d8fDA6c4bE105E0605DE62,,Yellow,Red,Normal,Light Brown,Tongue out,Round,,Frog Head,Red Wine,,Common,Sus,,Sparkles,,Peace Sign,,
1239,0xd1d770ccF78071438430D17F8aa37BBFf4582DDD,,Yellow,Gold,Sad,Gold,Scared,Bored,Gold,,,Particles,Lucky,,,,Yellow Blanket,,,
1240,0x964D503DCd0217a2139a9DF956160F7b68A962AA,,Teal Sparkles,Rainbow,Normal,Rainbow,Scared,Round,Rainbow,Red Hat,,,Common,,,Sparkles,,Peace Sign,Peace Sign,
1241,0xb7e0997f802a392d297c0da46778232077003933,,Yellow Sparkles,Purple,Sad,Heavy Dark,Hmph,Round,Dark,Moku Cap,Cheese,,Common,,Eye Bags,Watery,Green Overalls,,,
1242,0x4C8B150d15a4CC8CF392cc87e0fF96d27c9c928A,,Light Blue,Red,Normal,Light Brown,Devious,Bored,Brown,,Regular Milk,,Common,,Scar,,Ninja Shirt,,,
1243,0x9B3d6073dce3Ce4Ac2431a27031bdDeCA5A38938,,Light Pink,Rainbow,Normal,Rainbow,Hmph,Frown,Rainbow,Tie Dye Headband,,,Lucky,,Eye Bags,Dot,Vest,Finger,Finger,
1244,0x97b5aaC34B6873B7dF3205d059D7Db681478e8c6,Common,,,,,,,,,,,,,,,,,,
1245,0x7Aa63FaDc2277E91aa9F2890E0A3F644354987C0,,Blue,Pink,Excited,Light Brown,Gasp,Round,Brown,Pink Snapback,Black Sensu,,Common,Sus,Blush,Watery,Purple Hoodie,,,
1246,0xe821C24C79A31cF42Bcc4E3Cb92Cbf0C2E6DF6cf,,Dark Grey,Yellow,Normal,Light Moca,Smile,Tired,,,Regular Milk,Fog,Common,Sus,,,,,,
1247,0x3Ea350208C2329938faf659ba3Ec1Ea0E75A8a83,,Grey,Red,Normal,Light Yellow,Devious,Frown,Yellow,Black Head Band,Matcha Boba,Particles,Lucky,,Bite,,Yellow Artist Apron,,,
1248,0x1c8b5fBfC90b0e609330197D7b8dd913A497B71D,,Dark Green,Green,Sad,Heavy Moca,Tongue out,Crying,,Blobfish Head,Black Controller,,Common,Angry,,Heart,,,,
1249,0xAF85C890fB766C3f2226C519c4B382cD87C93cac,,Purple Sparkles,Gold,Sad,Gold,Sad,Frown,Gold,Gold Headband,,,Lucky,,Moustache,,,,,
1250,0x759C65CC7d062615dC2a8bCDeB25e6B06e7D1912,,Light Green,Red,Excited,Light Brown,Yell,Relaxed,Brown,Red Hat,Butter Knife,,Lucky,,,,Blue Overalls,,,
1251,0x7e2eE768E19270FE58486b8177342e1A8fc7192D,,Purple,Rainbow,Normal,Rainbow,Tongue out,Excited,Rainbow,Smiley Mask,,,Lucky,,,,,,Finger,
